"Freq [GHz]","dB(S(FloquetPort1:1,FloquetPort1:1)) [] - thickness='11.992mm'","dB(S(FloquetPort1:1,FloquetPort1:1)) [] - thickness='23.984mm'","dB(S(FloquetPort1:1,FloquetPort1:1)) [] - thickness='35.976mm'","dB(S(FloquetPort1:1,FloquetPort1:1)) [] - thickness='47.968mm'","dB(S(FloquetPort1:1,FloquetPort1:1)) [] - thickness='59.958mm'","dB(S(FloquetPort1:1,FloquetPort2:1)) []"
3.05,-10.5050546286963,-10.9626955509283,-28.8044158827133,-10.1604151362546,-11.6479827166919,-0.404918676820318
3.06,-10.4887030495514,-10.9987240505726,-27.9692251065829,-10.1182536879111,-11.7711626002654,-0.406519848329329
3.07,-10.472486235081,-11.0353308307404,-27.2083972101544,-10.0779304447152,-11.8990500057069,-0.408114374689587
3.08,-10.4564073496731,-11.0725250544238,-26.5099278769024,-10.0394202141002,-12.0318070166619,-0.409701809486385
3.09,-10.440469648819,-11.1103161748983,-25.8645148324073,-10.0026990644539,-12.1696064586215,-0.411281692279349
3.1,-10.4246764733614,-11.1487139398482,-25.264803206762,-9.96774428921351,-12.3126328146506,-0.412853549063444
3.11,-10.4090312434834,-11.1877283954565,-24.7048772480506,-9.93453437349765,-12.4610832477505,-0.414416892776715
3.12,-10.3935374524452,-11.2273698904618,-24.1799077687368,-9.90304896312781,-12.6151687448387,-0.415971223854965
3.13,-10.3781986600779,-11.2676490801832,-23.6859013589088,-9.87326883590517,-12.7751153998379,-0.417516030833625
3.14,-10.3630184860418,-11.3085769305149,-23.2195180316556,-9.84517587502037,-12.9411658563714,-0.419050790996464
3.15,-10.3480006028601,-11.3501647218955,-22.7779360479653,-9.81875304448452,-13.1135809341642,-0.420574971071464
3.16,-10.333148728737,-11.3924240532522,-22.3587499913537,-9.79398436647913,-13.2926414676041,-0.422088027973177
3.17,-10.3184666201702,-11.4353668459263,-21.9598927364348,-9.77085490053252,-13.4786503901824,-0.423589409591522
3.18,-10.3039580643692,-11.479005347583,-21.5795748898024,-9.74935072443792,-13.6719351049576,-0.425078555626307
3.19,-10.2896268714895,-11.5233521361111,-21.2162372090256,-9.72945891683675,-13.8728501890331,-0.426554898466801
3.2,-10.2754768666949,-11.5684201235184,-20.8685127989351,-9.7111675413975,-14.0817804897058,-0.428017864115769
