"scanningtheta [deg]","mag(S(FloquetPort1:2,FloquetPort1:2)) [] - Freq='2.5GHz'","mag(S(FloquetPort2:2,FloquetPort1:2))_1 [] - Freq='2.5GHz'"
0,0.17155443691956,0.985174606577891
0.5,0.171544748552472,0.985176293976062
1,0.17151568171907,0.985181355192033
1.5,0.171467231214916,0.985189789362569
2,0.171399388339523,0.985201595053145
2.5,0.171312140856665,0.985216770262369
3,0.171205472938583,0.98523531242814
3.5,0.171079365094238,0.985257218435523
4,0.170933794081208,0.9852824846264
4.5,0.17076873280115,0.985311106810737
5,0.170650058622614,0.985331689379684
5.5,0.170446289324719,0.985366958713489
6,0.170231875772706,0.985404022595457
6.5,0.169988491249817,0.985446037265287
7,0.169725711520764,0.985491330545703
7.5,0.169442971195369,0.985539983561361
8,0.169204336124989,0.985580984434372
8.5,0.168882950179034,0.985636105889636
9,0.168541591512272,0.985694534760763
9.5,0.168277704732394,0.985739603829072
10,0.167850869560755,0.985812375211705
10.5,0.167477744193993,0.985875831161897
11,0.167116355994416,0.985937155076332
11.5,0.166665527764023,0.986013464211026
12,0.166193941933879,0.986093059977202
12.5,0.165701490195037,0.986175929998394
13,0.165221469437553,0.986256474225853
13.5,0.16474404814965,0.986336336145153
14,0.164190934483188,0.986428561075308
14.5,0.163615876724832,0.986524106246782
15,0.162953572042023,0.986633714993988
15.5,0.16237684930236,0.986728798973758
16,0.161743201869049,0.986832863180485
16.5,0.161025779167299,0.986950176755717
17,0.160437718458506,0.987045942032953
17.5,0.159724003842654,0.98716168604402
18,0.158987368340284,0.987280591863992
18.5,0.158315199903227,0.987388607874027
19,0.157531112512595,0.987514006775253
19.5,0.156667436055422,0.987651384108831
20,0.155923401488429,0.987769145462181
20.5,0.155067882926098,0.987903812981931
21,0.154362731882719,0.988014242177803
21.5,0.153505232923712,0.988147833630096
22,0.152575826786661,0.988291766028215
22.5,0.151620242085974,0.988438819541254
23,0.150609697809337,0.988593301933116
23.5,0.149524178399317,0.988758065073964
24,0.148484899256106,0.988914670806332
24.5,0.14736390762785,0.989082338094409
25,0.146270011899916,0.989244701193811
25.5,0.145146794543378,0.989410129776341
26,0.144007053054849,0.989576660218005
26.5,0.142838914364375,0.989745945550912
27,0.141639798162807,0.98991825770032
27.5,0.140395480542293,0.990095500549053
28,0.139106004490552,0.990277491259714
28.5,0.13779222969754,0.99046115095709
29,0.136454334105332,0.990646357240675
29.5,0.135106158057513,0.990831083466242
30,0.133688011282325,0.991023463100804
30.5,0.132236045626686,0.991218189897462
31,0.130839454032956,0.991403498198765
31.5,0.129206408185687,0.991617647353734
32,0.127714471810559,0.99181089793739
32.5,0.126336789758592,0.99198733779203
33,0.124751912869693,0.992187900297507
33.5,0.123093276275035,0.992395039412926
34,0.121369220549999,0.992607363104033
34.5,0.119691480387575,0.992811075740549
35,0.117930709468912,0.993021764080412
35.5,0.116129848448419,0.993233974804995
36,0.11428125112778,0.993448364560266
36.5,0.112386136241655,0.993664532567897
37,0.110374068796042,0.993890041675709
37.5,0.108388764112553,0.994108503813772
38,0.106355511130294,0.994328080952882
38.5,0.104272216163037,0.994548702911996
39,0.102114560017389,0.9947725408958
39.5,0.0998999480992126,0.994997446362856
40,0.0976520828815008,0.995220568612765
40.5,0.0955063295050278,0.995428773298568
41,0.0931502134625197,0.995652014340229
41.5,0.0907583351764622,0.99587289527068
42,0.0882155885436157,0.996101351812884
42.5,0.0856130495591326,0.996328392693716
43,0.0830310122835956,0.996546899373884
43.5,0.0803856134351538,0.996763768101229
44,0.0776775287128421,0.996978472883641
44.5,0.0748845413536023,0.997192144718994
45,0.0720275955384695,0.997402569769572
45.5,0.0690646132748374,0.997612118144878
46,0.0660790019430447,0.997814323282638
46.5,0.0629595313609717,0.998016009563065
47,0.0598328985227423,0.998208344466264
47.5,0.0566063462306236,0.99839650426368
48,0.0532466864925175,0.99858128727289
48.5,0.0499412036615596,0.998752046014575
49,0.046452280957263,0.998920429378267
49.5,0.0428012972295731,0.999083375330284
50,0.0391589091003794,0.999232728977129
50.5,0.0353599676253078,0.999374529939827
51,0.0315175950254288,0.999503089877358
51.5,0.0276279054476039,0.999618161273887
52,0.0235783473145981,0.99972187723134
52.5,0.0194986382364352,0.999809585954388
53,0.0152172946682019,0.999883860883088
53.5,0.0109489204601848,0.999939675444421
54,0.00657031568944449,0.999978410010074
54.5,0.0020005395861571,0.999997817988346
55,0.00281808560661027,0.999995854123045
55.5,0.00731617767096233,0.999973230423373
56,0.0121121499007439,0.999926624708414
56.5,0.0174489523464539,0.999847540494229
57,0.0221841623424788,0.999753872408518
57.5,0.0273312905796603,0.999626407543196
58,0.0329606565763222,0.999456628456243
58.5,0.0384921196531509,0.999258881294396
59,0.0440302496565786,0.999030181198112
59.5,0.049779011179018,0.998760238681889
60,0.0564163738984765,0.99840703702544
60.5,0.0625570336620732,0.998041092902152
61,0.0688432662935079,0.997627181317856
61.5,0.0753080027969913,0.997160004721506
62,0.0818981563272477,0.996640402222886
62.5,0.0887292491226944,0.996055471305982
63,0.0957636132490578,0.995403779751477
63.5,0.102939646501074,0.994687261429384
64,0.110236839701823,0.99390496565197
64.5,0.117232004224864,0.993104548681412
65,0.125010955625562,0.992155349576682
65.5,0.133035344092698,0.991111275153967
66,0.141037241266404,0.990004275513532
66.5,0.149426363040814,0.988772841799994
67,0.158087051808733,0.987425164558892
67.5,0.166953741635952,0.985964710348261
68,0.176006548793555,0.984388980391135
68.5,0.184906419401642,0.982756115602012
69,0.194548549494475,0.980892873685991
69.5,0.204506168637237,0.978865248676095
70,0.214580102890025,0.976706369388446
70.5,0.225003269075602,0.974357987292607
71,0.235440445458766,0.971888755979883
71.5,0.246451091306091,0.969155200982797
72,0.257889140053213,0.966174484639716
72.5,0.26971379816558,0.962940510900239
