"Freq [GHz]","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='2'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='3'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='4'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='5'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='6'","mag(S(FloquetPort2:1,FloquetPort1:1)) [] - $varyingpermittivity='2'","mag(S(FloquetPort2:1,FloquetPort1:1)) [] - $varyingpermittivity='3'","mag(S(FloquetPort2:1,FloquetPort1:1)) [] - $varyingpermittivity='4'","mag(S(FloquetPort2:1,FloquetPort1:1)) [] - $varyingpermittivity='5'","mag(S(FloquetPort2:1,FloquetPort1:1)) [] - $varyingpermittivity='6'"
1,0.122106431855578,0.236556055346696,0.339805917955146,0.430238747908534,0.507752955514721,0.992517012095476,0.971617842918691,0.940495581128512,0.902715137680359,0.861502719767048
1.01,0.123256816277421,0.238642640875365,0.342545894700789,0.433353861421942,0.511025838901289,0.992374808838125,0.971105589007485,0.939502901901414,0.901223868239524,0.859583023785822
1.02,0.124405174325097,0.240721621143762,0.345269452037041,0.436442448414939,0.514261496004732,0.992231505316489,0.970590680497725,0.938507018206026,0.899732204506375,0.857667102154416
1.03,0.125551492033656,0.24279295938585,0.347976566852844,0.439504572738206,0.517460199772326,0.992087109852932,0.970073158569081,0.937508081515333,0.898240387657558,0.855755316448003
1.04,0.126695755684663,0.24485661970415,0.35066721854527,0.442540301946291,0.520622227474276,0.991941630793993,0.969553064624781,0.936506242328012,0.896748655380384,0.853848020241101
1.05,0.127837951803884,0.246912567051539,0.353341388970156,0.445549707177854,0.52374786025078,0.991795076508969,0.969030440308878,0.935501650121811,0.895257241858862,0.851945559072412
1.06,0.128978067158264,0.248960767212883,0.35599906239217,0.448532863037006,0.526837382672052,0.991647455388604,0.968505327522099,0.93449445330904,0.893766377762787,0.850048270419807
1.07,0.130116088752203,0.251001186786564,0.35864022543443,0.451489847475763,0.529891082311901,0.991498775843875,0.967977768436237,0.933484799194213,0.892276290239761,0.848156483685276
1.08,0.131252003823109,0.253033793165936,0.361264867027709,0.454420741677694,0.532909249335366,0.991349046304904,0.967447805507095,0.932472833933861,0.890787202910104,0.846270520189614
1.09,0.132385799836214,0.255058554520781,0.363872978359342,0.457325629942801,0.535892176100888,0.991198275219988,0.966915481485973,0.931458702498547,0.88929933586457,0.844390693176648
1.1,0.13351746447864,0.257075439778775,0.366464552821864,0.460204599573669,0.538840156777361,0.991046471054774,0.96638083942969,0.930442548637101,0.887812905664774,0.842517307826751
1.11,0.134646985652704,0.259084418607043,0.369039585961487,0.463057740762936,0.541753486976384,0.99089364229156,0.965843922709157,0.929424514843096,0.886328125346272,0.840650661279412
1.12,0.135774351468462,0.261085461393811,0.371598075426454,0.465885146482102,0.544632463399983,0.990739797428765,0.965304775016516,0.928404742323567,0.884845204424206,0.838791042664589
1.13,0.136899550235476,0.263078539230209,0.374140020915349,0.468686912371727,0.547477383503952,0.990584944980544,0.964763440370852,0.927383370969982,0.883364348901418,0.836938733142594
1.14,0.13802257045381,0.265063623892251,0.376665424125423,0.47146313663303,0.550288545176975,0.990429093476581,0.964219963122514,0.926360539331452,0.88188576127898,0.835094005952218
1.15,0.139143400804246,0.267040687823031,0.379174288700989,0.474213919920919,0.553066246435549,0.990272251462045,0.963674387956065,0.925336384590199,0.88040964056902,0.833257126466816
1.16,0.140262030137734,0.269009704115146,0.381666620181952,0.476939365238478,0.555810785134773,0.990114427497737,0.963126759891893,0.924311042539245,0.878936182309801,0.831428352258064
1.17,0.141378447464063,0.27097064649339,0.384142425952517,0.479639577832919,0.558522458694898,0.989955630160419,0.962577124286534,0.923284647562318,0.877465578582928,0.829607933167074
1.18,0.142492641939774,0.272923489297726,0.386601715190137,0.482314665093028,0.561201563843602,0.98979586804334,0.962025526831727,0.922257332615953,0.875998018032629,0.827796111382567
1.19,0.143604602855325,0.274868207466571,0.389044498814743,0.484964736448104,0.5638483963738,0.989635149756958,0.961472013552266,0.921229229213763,0.874533685887016,0.825993121525786
1.2,0.144714319621506,0.276804776520391,0.391470789438297,0.487589903268418,0.566463250916844,0.98947348392987,0.960916630802681,0.920200467412849,0.873072763981227,0.824199190741843
1.21,0.145821781755134,0.278733172545637,0.393880601314726,0.490190278767193,0.569046420730832,0.989310879209949,0.960359425262815,0.919171175802307,0.87161543078239,0.822414538797155
1.22,0.14692697886404,0.280653372179025,0.396273950290262,0.492765977904115,0.571598197503821,0.989147344265693,0.959800443932334,0.91814148149381,0.870161861416301,0.820639378182672
1.23,0.148029900631374,0.28256535259217,0.398650853754231,0.495317117290386,0.574118871171584,0.988982887787791,0.959239734124247,0.91711151011421,0.868712227695738,0.818873914222544
