"Freq [GHz]","dB(S(FloquetPort1:1,FloquetPort1:1)) []","dB(S(FloquetPort1:1,FloquetPort2:1)) []"
1,-3.42662297598584,-2.6304185506889
1.01,-3.40037588421916,-2.65236131275654
1.02,-3.37495233400853,-2.67385538532594
1.03,-3.35033278404151,-2.69489791596221
1.04,-3.32649846368253,-2.71548623173097
1.05,-3.30343134481042,-2.73561783367842
1.06,-3.28111411458909,-2.75529039148046
1.07,-3.2595301491516,-2.77450173825919
1.08,-3.2386634881793,-2.7932498655652
1.09,-3.21849881035871,-2.81153291852338
1.1,-3.19902140969987,-2.82934919114024
1.11,-3.18021717270071,-2.84669712177023
1.12,-3.16207255634223,-2.86357528873872
1.13,-3.14457456690013,-2.87998240611906
1.14,-3.12771073955834,-2.89591731966107
1.15,-3.11146911881048,-2.91137900286821
1.16,-3.09583823963491,-2.92636655322074
1.17,-3.08080710942929,-2.940879188542
1.18,-3.06636519069022,-2.95491624350506
1.19,-3.05250238442347,-2.96847716627674
1.2,-3.03920901427,-2.98156151529637
1.21,-3.02647581133255,-2.9941689561862
1.22,-3.01429389968753,-3.00629925879078
1.23,-3.00265478256623,-3.01795229434233
1.24,-2.99155032918926,-3.02912803274947
1.25,-2.98097276223764,-3.03982654000631
1.26,-2.97091464594349,-3.05004797571923
1.27,-2.96136887478315,-3.05979259074875
1.28,-2.95232866275481,-3.06906072496347
1.29,-2.94378753322273,-3.07785280510376
1.3,-2.93573930930969,-3.0861693427523
1.31,-2.92817810481886,-3.0940109324091
1.32,-2.92109831566632,-3.10137824966831
1.33,-2.91449461180499,-3.10827204949443
1.34,-2.90836192962062,-3.1146931645953
1.35,-2.90269546478055,-3.12064250388966
1.36,-2.89749066551544,-3.1261210510667
1.37,-2.89274322631468,-3.13112986323539
1.38,-2.8884490820157,-3.13567006966134
1.39,-2.88460440226788,-3.13974287058862
1.4,-2.88120558635161,-3.14334953614478
1.41,-2.87824925833335,-3.14649140532652
1.42,-2.87573226253788,-3.14916988506396
1.43,-2.87365165931891,-3.15138644936149
1.44,-2.87200472110999,-3.15314263851291
1.45,-2.87078892873766,-3.15444005838907
1.46,-2.8700019679796,-3.15528037979563
1.47,-2.86964172635068,-3.15566533789934
1.48,-2.86970629010059,-3.15559673172042
1.49,-2.87019394140743,-3.15507642368947
1.5,-2.87110315575183,-3.15410633926673
1.51,-2.87243259945734,-3.15268846662169
1.52,-2.8741811273833,-3.15082485637163
1.53,-2.87634778075704,-3.1485176213764
1.54,-2.87893178513331,-3.14576893658827
1.55,-2.88193254846931,-3.14258103895466
1.56,-2.88534965930476,-3.13895622737181
1.57,-2.8891828850371,-3.13489686268769
1.58,-2.89343217028282,-3.13040536775228
1.59,-2.89809763531663,-3.12548422751315
1.6,-2.90317957458122,-3.12013598915475
1.61,-2.90867845526102,-3.11436326227942
1.62,-2.91459491591406,-3.10816871912818
1.63,-2.92092976515731,-3.10155509483951
1.64,-2.92768398040089,-3.09452518774427
1.65,-2.9348587066281,-3.08708185969475
1.66,-2.94245525521828,-3.07922803642598
1.67,-2.95047510281059,-3.07096670794745
1.68,-2.9589198902072,-3.06230092896313
1.69,-2.96779142131517,-3.05323381931805
1.7,-2.97709166212662,-3.04376856446922
1.71,-2.98682273973745,-3.03390841597902
1.72,-2.99698694140534,-3.02365669202912
