"Freq [GHz]","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='2'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='3'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='4'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='5'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='6'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='7'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='8'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='9'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='10'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='2'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='3'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='4'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='5'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='6'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='7'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='8'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='9'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='10'"
1,0.171566577878635,0.267949630322824,0.333340313659016,0.381981187510069,0.420212762415036,0.451420567651801,0.477587853480628,0.499999630404675,0.519495404030883,0.985172527706019,0.963432922216076,0.942806573635121,0.924170099271553,0.907425608137369,0.892311308400499,0.878583998378407,0.8660256171698,0.854473244279993
1.01,0.171566523124072,0.267950302482848,0.333341221017627,0.381981867316192,0.420212338069348,0.451420016074736,0.477587154500145,0.499999637449548,0.519496352804686,0.985163666398806,0.96343280344385,0.942806235692873,0.924169820721758,0.907423471171818,0.892310356856008,0.878584382033643,0.866025618361858,0.854472707995672
1.02,0.171566508118457,0.26795102885058,0.333342169689697,0.381982474791464,0.420211821194637,0.451419429376599,0.477586540342204,0.499999740968715,0.519497435186828,0.985156302750045,0.963432654295635,0.942805887795543,0.924169570334025,0.907422053820108,0.89230992981375,0.878584718147683,0.866025560304985,0.854472072017376
1.03,0.171566536966733,0.267951813210524,0.333343156995157,0.381983001615108,0.420211204601444,0.451418816302019,0.477586030900719,0.499999950420221,0.519498645001477,0.985150310942624,0.963432475641547,0.94280553078196,0.924169352267899,0.907421238057605,0.892309897350576,0.878584995631219,0.866025438859521,0.854471345063961
1.04,0.171566614122858,0.267952659138697,0.333344179305115,0.38198343932808,0.420210484720246,0.451418187202657,0.477585646014117,0.500000274243974,0.51949997252135,0.985145569026629,0.963432268278151,0.942805165675425,0.924169170538607,0.907420918978703,0.892310150286663,0.878585203856254,0.866025250175516,0.854470537207373
1.05,0.171566744362283,0.267953569938372,0.333345232099873,0.381983779537445,0.420209661544777,0.451417553928525,0.477585404988993,0.500000719621365,0.519501404488616,0.985141959165455,0.963432032946408,0.942804793690895,0.924169028970717,0.907421003772748,0.892310597730005,0.878585332748936,0.866024990865003,0.85446965988998
1.06,0.171566932751516,0.267954548577895,0.333346310033396,0.381984014117135,0.420208738547547,0.451416929689664,0.477585326124811,0.500001292241689,0.519502924204001,0.985139367857626,0.963431770349871,0.942804416238724,0.924168931148966,0.90742141070923,0.892311164792721,0.878585372913062,0.866024658172442,0.854468725923791
1.07,0.171567184614891,0.267955597631026,0.333347407003877,0.381984135403602,0.420207722567315,0.45141632888901,0.477585426245597,0.500001996080767,0.519504511686911,0.98513768613412,0.963431481172977,0.9428040349249,0.924168880366971,0.907422068141667,0.892311790482692,0.878585315779071,0.866024250138805,0.854467749463213
1.08,0.17156750549861,0.267956719220278,0.333348516230003,0.381984136384794,0.420206623668549,0.451415766927752,0.477585720244845,0.500002833197275,0.519506143908315,0.985136809731054,0.963431166099243,0.942803651547706,0.92416887957466,0.907422913538844,0.892312425772229,0.878585153772831,0.86602376575478,0.854466745944256
1.09,0.171567901132195,0.267957914963653,0.333349630332484,0.381984010880881,0.420205454973006,0.45141525998488,0.477586220649965,0.500003803552328,0.519507795096934,0.985136639237721,0.963430825829214,0.942803268090822,0.924168931325237,0.907423892551285,0.892313031843739,0.878584880498171,0.866023205098913,0.854465731984548
