"Freq [GHz]","ang_deg(S(FloquetPort1:1,FloquetPort1:1)) [deg]","ang_deg(S(FloquetPort2:1,FloquetPort2:1)) [deg]"
4.71,-118.22805089293,-159.460448994579
4.72,-122.444635248552,-160.017909869666
4.73,-126.496775666178,-160.740196197206
4.74,-130.410140105651,-161.601065693466
4.75,-134.205714143834,-162.579027523659
4.76,-137.900796208219,-163.656337298147
4.77,-141.509767001659,-164.818222199517
4.78,-145.044685915305,-166.052282325342
4.79,-148.515755300527,-167.348026496129
4.8,-151.931683720326,-168.696510725293
4.81,-155.29997169673,-170.090055302558
4.82,-158.627137680924,-171.522022342767
4.83,-161.918897616879,-172.986640088138
4.84,-165.180308208875,-174.478863570387
4.85,-168.415881565429,-175.99426371931
4.86,-171.629677066717,-177.528938861623
4.87,-174.825374931842,-179.079443949525
4.88,-178.006334929256,179.35726608808
4.89,178.824357107507,177.783881679876
4.9,175.663852888954,176.202774832293
4.91,172.509513783295,174.616027973224
4.92,169.358890154546,173.025456807664
4.93,166.20970690062,171.432628316616
4.94,163.05985435557,169.838874854815
4.95,159.90738385502,168.245305207037
4.96,156.750507354196,166.652813457871
4.97,153.587600541031,165.062086643614
4.98,150.417208907813,163.473612441433
4.99,147.238056238246,161.887688708194
5,144.049054936601,160.304437683657
