"Freq [GHz]","dB(S(FloquetPort1:1,FloquetPort1:1)) []","dB(S(FloquetPort1:1,FloquetPort2:1)) []"
1,-6.00303656298486,-1.25525763575401
1.01,-5.97455839213647,-1.26484367968542
1.02,-5.94720892551575,-1.27412929509681
1.03,-5.9209716819976,-1.28311128056282
1.04,-5.89583087248708,-1.29178658675886
1.05,-5.87177138114929,-1.30015231509378
1.06,-5.84877874755264,-1.30820571636126
1.07,-5.82683914967955,-1.31594418941354
1.08,-5.80593938776108,-1.32336527986075
1.09,-5.78606686889518,-1.33046667879793
1.1,-5.76720959241043,-1.33724622156346
1.11,-5.74935613593967,-1.34370188653065
1.12,-5.73249564217002,-1.34983179393493
1.13,-5.71661780623768,-1.35563420473887
1.14,-5.70171286373786,-1.36110751953699
1.15,-5.68777157932179,-1.36625027750185
1.16,-5.67478523585437,-1.37106115537333
1.17,-5.66274562410737,-1.37553896649229
1.18,-5.65164503296454,-1.37968265988015
1.19,-5.64147624011609,-1.38349131936508
1.2,-5.63223250322114,-1.38696416275644
1.21,-5.62390755151786,-1.39010054106758
1.22,-5.61649557786178,-1.39289993778836
1.23,-5.60999123117381,-1.39536196820745
1.24,-5.60438960928011,-1.39748637878508
1.25,-5.59968625212679,-1.39927304657657
1.26,-5.59587713535294,-1.40072197870676
1.27,-5.59295866420613,-1.40183331189526
1.28,-5.59092766778506,-1.40260731203267
1.29,-5.58978139359437,-1.40304437380734
1.3,-5.589517502397,-1.40314502038258
1.31,-5.59013406335007,-1.40290990312358
1.32,-5.59162954941004,-1.40233980137368
1.33,-5.59400283299365,-1.40143562227915
1.34,-5.59725318188079,-1.40019840066182
1.35,-5.601380255346,-1.39862929893839
1.36,-5.60638410050493,-1.39672960708538
1.37,-5.61226514886233,-1.39450074264879
1.38,-5.61902421304808,-1.39194425079648
1.39,-5.62666248372734,-1.38906180441267
1.4,-5.63518152667107,-1.38585520423202
1.41,-5.64458327997266,-1.38232637901233
1.42,-5.6548700513962,-1.37847738574339
1.43,-5.66604451584142,-1.3743104098902
1.44,-5.67810971291008,-1.36982776566842
1.45,-5.69106904455776,-1.36503189634965
1.46,-5.70492627281469,-1.35992537459368
1.47,-5.71968551755825,-1.35451090280604
1.48,-5.73535125431937,-1.34879131351681
1.49,-5.75192831210381,-1.34276956977861
1.5,-5.7694218712086,-1.33644876558046
1.51,-5.78783746101269,-1.32983212627385
1.52,-5.80718095771989,-1.32292300900796
1.53,-5.82745858203052,-1.31572490317027
1.54,-5.84867689671712,-1.30824143082863
1.55,-5.87084280407795,-1.30047634717077
1.56,-5.89396354323998,-1.29243354093742
1.57,-5.91804668728173,-1.2841170348441
1.58,-5.94310014014371,-1.27553098598752
1.59,-5.96913213329263,-1.26667968623174
1.6,-5.9961512221024,-1.25756756256895
1.61,-6.02416628191307,-1.24819917744995
1.62,-6.05318650372531,-1.23857922907912
1.63,-6.08322138948541,-1.22871255166819
1.64,-6.1142807469122,-1.21860411564333
1.65,-6.14637468381351,-1.20825902779962
1.66,-6.17951360183605,-1.197682531397
1.67,-6.21370818958797,-1.18688000619139
1.68,-6.24896941506883,-1.17585696839461
