"Freq [GHz]","re(Zo(backport:1)) []","re(Zo(backport:2)) []","re(Zo(backport:3)) []","re(Zo(backport:4)) []","re(Zo(backport:6)) []"
4.11,265.945316202275,3988.36678630603,998.492288960297,0,0
4.12,265.745868878003,3829.39533183653,958.692757524999,0,0
4.13,265.548311767108,3689.0034985996,923.54483994215,0,0
4.14,265.352619680606,3563.86668165576,892.216170165951,0,0
4.15,265.158767867772,3451.43644506764,864.068711156667,0,0
4.16,264.9667320043,3349.72218234305,838.604088497272,0,0
4.17,264.776488200298,3257.1434239655,815.426612402173,0,0
4.18,264.588012948645,3172.42727750747,794.2175997927,0,0
4.19,264.401283167431,3094.53555896598,774.717130260635,0,0
4.2,264.21627616017,3022.61196509908,756.710819732999,0,0
4.21,264.032969615889,2955.94308329528,740.020058646596,0,0
4.22,263.851341600615,2893.92915042969,724.494690968126,0,0
4.23,263.671370549421,2836.06180979828,710.007444212859,0,0
4.24,263.493035258706,2781.90694084132,696.449636198979,0,0
4.25,263.316314878675,2731.09132952314,683.727826559055,0,0
4.26,263.141188906009,2683.29207861388,671.761176787012,0,0
4.27,262.967637176714,2638.22823464753,660.479348246808,0,0
4.28,262.795639859155,2595.65403724496,649.820813209503,0,0
4.29,262.625177447251,2555.35345301145,639.731486355519,0,0
4.3,262.456230753846,2517.13571199875,630.163607279219,0,0
4.31,262.288780904236,2480.83163647608,621.074821358917,0,0
4.32,262.122809329859,2446.29060103329,612.427418688666,0,0
4.33,261.958297762131,2413.37799962919,604.187699929712,0,0
4.34,261.795228226436,2381.97312263951,596.325444809997,0,0
4.35,261.633583036256,2351.96736773651,588.813464202049,0,0
4.36,261.473344787447,2323.26272430301,581.627220683111,0,0
4.37,261.314496352644,2295.77048330866,574.744505542015,0,0
4.38,261.157020875808,2269.41013406601,568.145162573271,0,0
4.39,261.000901766891,2244.1084167056,561.810850856888,0,0
4.4,260.846122696634,2219.79850505326,555.724840185599,0,0
4.41,260.692667591478,2196.41929922379,549.871833960776,0,0
4.42,260.540520628608,2173.91481094554,544.237815304034,0,0
4.43,260.389666231124,2152.23362759122,538.809912873201,0,0
4.44,260.240089063271,2131.32844326495,533.576283468238,0,0
4.45,260.091774025828,2111.15564725646,528.526009001936,0,0
4.46,259.944706251588,2091.67496460417,523.649005792518,0,0
4.47,259.798871100945,2072.84912281059,518.935944612725,7134.75520564977,0
4.48,259.654254157596,2054.64359481415,514.378179466681,2080.78563220118,0
4.49,259.510841224414,2037.02632229164,509.967685134122,1506.06137889903,0
4.5,259.368618319006,2019.96750433297,505.697000866682,1240.93360815582,0
4.51,259.227571669035,2003.43939568731,501.559180549764,1080.52095408907,0
4.52,259.087687709997,1987.41612826818,497.547748044173,970.249600284269,0
4.53,258.948953082819,1971.87355146,493.656657175884,888.52654006183,0
4.54,258.811354623562,1956.7890885615,489.880255807763,824.870165413285,0
4.55,258.674879366292,1942.14160765554,486.213253509912,773.497685878723,0
4.56,258.539514536748,1927.91130517799,482.650692410479,730.923442037922,0
4.57,258.405247549198,1914.07960073971,479.187920863835,694.905015435477,0
4.58,258.272066003008,1900.62904193954,475.820569620063,663.925762077825,0
4.59,258.139957679273,1887.54321806637,472.54453021987,636.918350218286,0
4.6,258.008910537525,1874.80668172606,469.355935373565,613.106981561914,0
4.61,257.878912712501,1862.40487754815,466.251141112451,591.912433035487,0
4.62,257.749952510996,1850.32407722882,463.226710526577,572.892351404155,0
4.63,257.622018408819,1838.55132025587,460.279398924987,555.702310432805,0
4.64,257.495099047539,1827.07435973781,457.406140273803,540.069604862614,0
4.65,257.369183232001,1815.88161282593,454.604034784222,525.775132985158,0
4.66,257.244259926957,1804.96211527656,451.870337536967,512.640578671772,0
4.67,257.120318254475,1794.30547975112,449.202448042595,500.519140260519,0
4.68,256.997347491114,1783.90185749624,446.597900647985,489.288728134634,0
4.69,256.875337065229,1773.74190308616,444.054355709264,478.846856041097,0
4.7,256.754276554293,1763.81674193992,441.569591459841,469.106777867423,0
4.71,256.634155682307,1754.11794036172,439.141496509844,459.994511678899,0
4.72,256.514964317242,1744.63747787517,436.768062919871,451.446524084991,0
4.73,256.396692468546,1735.36772164514,434.447379797836,443.407908017514,0
4.74,256.279330284684,1726.30140280191,432.177627372886,435.830934291196,0
4.75,256.162868050787,1717.43159453184,429.957071505039,428.673889417713,0
4.76,256.047296186385,1708.75169172043,427.784058592952,421.90014001854,0
4.77,255.932605242857,1700.25539206391,425.657010846722,415.477349375814,0
4.78,255.818785901819,1691.93667853138,423.574421894539,409.376875077149,0
4.79,255.705828971768,1683.78980304035,421.534852696218,403.573225366808,0
4.8,255.593725386978,1675.80927125832,419.536927738382,398.043634772742,0
4.81,255.482466204962,1667.9898284397,417.579331488719,392.767699851982,0
4.82,255.372042604453,1660.32644621544,415.66080508873,387.727073997682,0
4.83,255.262445883394,1652.81431026039,413.780143266263,382.905206529228,0
4.84,255.153667456873,1645.44880877111,411.936191450778,378.28712688479,0
4.85,255.045698855327,1638.22552169014,410.127843075832,373.859253502008,0
4.86,254.938531722473,1631.14021062316,408.354037054592,369.609231156645,0
4.87,254.832157813514,1624.18880939409,406.61375541542,365.525796554665,0
4.88,254.726568993294,1617.36741519317,404.906021085699,361.598654347021,0
4.89,254.62175723449,1610.6722802733,403.22989581304,357.818373907001,0
4.9,254.517714615849,1604.09980415568,401.584478213916,354.176298220386,0
4.91,254.414433320471,1597.64652630799,399.968901940642,350.664464156831,0
4.92,254.311905634085,1591.30911926171,398.382333958243,347.275532678898,0
4.93,254.210123943415,1585.08438213775,396.823972923666,344.002727855084,0
4.94,254.10908073453,1578.96923455231,395.293047660012,340.839782393861,0
