"Freq [GHz]","dB(S(1,1)) []","dB(S(1,2)) []"
2,-11.8077563446027,-0.562078222424496
2.00571428571429,-11.8501072716138,-0.559352762452419
2.01142857142857,-11.8950594810186,-0.556565739456905
2.01714285714286,-11.9426846218609,-0.553695214451453
2.02285714285714,-11.9930599796373,-0.550723745831457
2.02857142857143,-12.0462678918841,-0.547637984607028
2.03428571428571,-12.1023950423257,-0.544428280720063
2.04,-12.1615316291734,-0.541088302851424
2.04571428571429,-12.2237704048263,-0.537614673749
2.05142857142857,-12.2892055863178,-0.534006622762875
2.05714285714286,-12.3579316383815,-0.53026565695473
2.06285714285714,-12.4300419339411,-0.526395251852568
2.06857142857143,-12.50562730014,-0.522400562645968
2.07428571428571,-12.5847744616201,-0.518288156357732
2.08,-12.6675643965671,-0.514065765284378
2.08571428571429,-12.7540706248968,-0.509742061767781
2.09142857142857,-12.844357451748,-0.505326454143987
2.09714285714286,-12.9384781929616,-0.500828903512431
2.10285714285714,-13.0364734122912,-0.4962597607809
2.10857142857143,-13.1383692025148,-0.491629623269336
2.11428571428571,-13.2441755441876,-0.486949210002756
2.12,-13.3538847763627,-0.48222925468955
2.12571428571429,-13.4674702130357,-0.477480415271823
2.13142857142857,-13.5848849372901,-0.472713198846361
2.13714285714286,-13.7060608020794,-0.467937900694348
2.14285714285714,-13.8309076623283,-0.463164556120535
2.14857142857143,-13.9593128576823,-0.458402903789896
2.15428571428571,-14.0911409589254,-0.453662359260297
2.16,-14.2262337840967,-0.448951997437698
2.16571428571429,-14.3644106828913,-0.444280542726556
2.17142857142857,-14.5054690803915,-0.439656365703931
2.17714285714286,-14.6491852638197,-0.435087485211532
2.18285714285714,-14.7953153891678,-0.430581574828087
2.18857142857143,-14.943596678543,-0.426145972753781
2.19428571428571,-15.0937487740907,-0.421787694205946
2.2,-15.2454752106672,-0.417513445488407
2.20571428571429,-15.3984649671298,-0.413329638956128
2.21142857142857,-15.5523940553353,-0.409242408151163
2.21714285714286,-15.7069271066797,-0.405257622436979
2.22285714285714,-15.8617189182925,-0.401380900507914
2.22857142857143,-16.0164159247754,-0.397617622198752
2.23428571428571,-16.1706575665347,-0.39397293807112
2.24,-16.3240775322623,-0.390451776307052
2.24571428571429,-16.4763048608089,-0.38705884650065
2.25142857142857,-16.6269648964931,-0.383798640003483
2.25714285714286,-16.7756801016416,-0.380675426552859
2.26285714285714,-16.9220707407246,-0.377693246990718
2.26857142857143,-17.0657554616772,-0.374855901966883
2.27428571428571,-17.2063518116094,-0.372166936610516
2.28,-17.3434767358881,-0.369629621248905
2.28571428571429,-17.4767471210556,-0.367246928348466
2.29142857142857,-17.6057804528127,-0.365021505950543
2.29714285714286,-17.7301956696396,-0.362955647969134
2.30285714285714,-17.8496142998007,-0.361051261809315
2.30857142857143,-17.9636619735464,-0.359309833850697
2.31428571428571,-18.0719704021925,-0.3577323934179
2.32,-18.1741799103312,-0.356319475928883
2.32571428571429,-18.2699425955491,-0.355071085969139
2.33142857142857,-18.3589261707532,-0.353986661084752
2.33714285714286,-18.4408185168507,-0.353065037119044
2.34285714285714,-18.5153329379562,-0.352304415933481
2.34857142857143,-18.5822140680889,-0.351702336355244
2.35428571428571,-18.6412443289198,-0.351255649178088
2.36,-18.6922507850814,-0.350960497011952
2.36571428571429,-18.7351121903535,-0.350812299727143
2.37142857142857,-18.7697659691498,-0.35080574617452
2.37714285714286,-18.7962148381341,-0.350934792779879
2.38285714285714,-18.8145327475421,-0.351192669513738
2.38857142857143,-18.8248698153764,-0.351571893624428
2.39428571428571,-18.8274559432662,-0.352064291396914
2.4,-18.8226028417861,-0.352661028062644
2.40571428571429,-18.8107042543812,-0.353352645840396
2.41142857142857,-18.7922342493111,-0.354129109938357
2.41714285714286,-18.7677435425114,-0.354979862196196
2.42285714285714,-18.7378539136948,-0.355893881898981
2.42857142857143,-18.7032508753066,-0.35685975315648
2.43428571428571,-18.664674841301,-0.357865738116652
2.44,-18.6229111134528,-0.358899855177568
2.44571428571429,-18.5787790523242,-0.359949961279413
2.45142857142857,-18.5331208256266,-0.361003837304667
2.45714285714286,-18.4867901284808,-0.362049275588114
2.46285714285714,-18.4406412500123,-0.363074168543111
2.46857142857143,-18.3955188224232,-0.364066597441072
2.47428571428571,-18.3522485367609,-0.365014920437542
2.48,-18.3116290489817,-0.365907859011176
2.48571428571429,-18.2744252353909,-0.366734582066983
2.49142857142857,-18.2413628923286,-0.367484787044226
2.49714285714286,-18.2131249145462,-0.368148777453648
2.50285714285714,-18.1903489326364,-0.368717536342741
2.50857142857143,-18.1736263438798,-0.369182795246183
2.51428571428571,-18.163502633911,-0.369537098217585
2.52,-18.16047885898,-0.369773860558462
2.52571428571429,-18.1650141400878,-0.369887421862517
2.53142857142857,-18.1775290102847,-0.369873092981027
2.53714285714286,-18.198409454041,-0.36972719649505
2.54285714285714,-18.2280114817549,-0.369447100256894
2.54857142857143,-18.2666660919657,-0.369031243545263
2.55428571428571,-18.3146844874903,-0.368479155369803
2.56,-18.3723634283429,-0.367791464467986
2.56571428571429,-18.4399906228431,-0.366969900563131
2.57142857142857,-18.5178500778541,-0.366017286499235
2.57714285714286,-18.6062273488176,-0.364937520937033
2.58285714285714,-18.7054146495897,-0.363735551385415
2.58857142857143,-18.8157158006018,-0.362417337449916
2.59428571428571,-18.9374510113289,-0.360989804305022
2.6,-19.0709615093836,-0.359460786532417
2.60571428571429,-19.2166140437988,-0.35783896261278
2.61142857142857,-19.3748053044423,-0.356133780506301
2.61714285714286,-19.5459663132618,-0.354355374906193
2.62285714285714,-19.7305668565792,-0.352514476893455
2.62857142857143,-19.9291200413426,-0.35062231685701
2.63428571428571,-20.1421870725231,-0.348690521668528
2.64,-20.370382364215,-0.346731007211237
2.64571428571429,-20.6143791138097,-0.34475586745478
2.65142857142857,-20.8749154873134,-0.342777261342275
2.65714285714286,-21.1528015845751,-0.340807298807551
2.66285714285714,-21.4489273758382,-0.338857927271357
2.66857142857143,-21.7642718249887,-0.336940819972384
2.67428571428571,-22.0999134384492,-0.335067267473545
2.68,-22.4570424985607,-0.33324807364658
2.68571428571429,-22.8369752498469,-0.331493457379067
2.69142857142857,-23.241170293777,-0.329812961169843
2.69714285714286,-23.6712473903764,-0.32821536768357
2.70285714285714,-24.1290087235956,-0.326708625224497
2.70857142857143,-24.6164623902064,-0.325299782966906
2.71428571428571,-25.1358472899071,-0.323994936647472
2.72,-25.689657493327,-0.322799185285341
2.72571428571429,-26.2806621170027,-0.32171659935225
2.73142857142857,-26.9119129541093,-0.320750200669023
2.73714285714286,-27.5867251414213,-0.319901954158833
2.74285714285714,-28.3086032852836,-0.319172771443074
2.74857142857143,-29.0810617286924,-0.31856252612384
2.75428571428571,-29.9072439661046,-0.318070080459218
2.76,-30.7891670438815,-0.317693323004531
2.76571428571429,-31.7262788824222,-0.317429216665265
2.77142857142857,-32.7127991204094,-0.3172738564864
2.77714285714286,-33.7330586186828,-0.317222536389263
2.78285714285714,-34.7540786837977,-0.317269823961918
2.78857142857143,-35.7160671417469,-0.317409642313202
2.79428571428571,-36.526656880976,-0.317635357916192
2.8,-37.0735641756119,-0.317939873294241
2.80571428571429,-37.2685776326207,-0.318315723344606
2.81142857142857,-37.1006927842212,-0.318755174051747
2.81714285714286,-36.6438158521638,-0.319250322316091
2.82285714285714,-36.0097335517378,-0.319793195616112
2.82857142857143,-35.2979740427282,-0.320375850231732
2.83428571428571,-34.5761398498835,-0.320990466786943
2.84,-33.8829063883932,-0.321629441918058
2.84571428571429,-33.2374647859697,-0.322285474941241
2.85142857142857,-32.6476142982029,-0.322951648477705
2.85714285714286,-32.1150302897525,-0.323621502095798
2.86285714285714,-31.6383208611885,-0.324289098143923
2.86857142857143,-31.2146998885676,-0.324949079075262
2.87428571428571,-30.8408680858254,-0.32559671570123
2.88,-30.5134584161355,-0.326227945953408
2.88571428571429,-30.229246417365,-0.326839403880009
2.89142857142857,-29.9852350989194,-0.327428438750383
2.89714285714286,-29.7786735640429,-0.327993124286183
2.90285714285714,-29.6070409708818,-0.328532258178529
2.90857142857143,-29.4680124967519,-0.329045352184124
2.91428571428571,-29.3594158470892,-0.329532613217172
2.92,-29.2791824328853,-0.329994915967551
2.92571428571429,-29.2252949595356,-0.330433767675854
2.93142857142857,-29.1957319447056,-0.330851265782905
2.93714285714286,-29.1884091631955,-0.331250049244124
2.94285714285714,-29.2011179960709,-0.33163324435691
2.94857142857143,-29.2314610761593,-0.332004405992933
2.95428571428571,-29.2767864952119,-0.332367455156273
2.96,-29.3341232358244,-0.332726613804677
2.96571428571429,-29.4001224738738,-0.333086337873844
2.97142857142857,-29.4710119453861,-0.33345124943643
2.97714285714286,-29.5425734766299,-0.333826068907675
2.98285714285714,-29.6101564993443,-0.33421554818057
2.98857142857143,-29.6687419188495,-0.334624405534603
2.99428571428571,-29.7130696099086,-0.335057263115885
3,-29.7378374312021,-0.335518587731951
3.00571428571429,-29.7379688407897,-0.336012635643182
3.01142857142857,-29.7089304468115,-0.336543401964707
3.01714285714286,-29.6470632605085,-0.337114575218659
3.02285714285714,-29.5498778156275,-0.337729497496285
3.02857142857143,-29.416260328745,-0.338391130604541
3.03428571428571,-29.2465488170861,-0.339102028481561
3.04,-29.0424629945444,-0.339864316071876
3.04571428571429,-28.8069021794615,-0.340679674755441
3.05142857142857,-28.5436509757009,-0.341549334326541
3.05714285714286,-28.2570451725776,-0.342474071420087
3.06285714285714,-27.9516481688297,-0.343454214185949
3.06857142857143,-27.6319750973015,-0.344489652918272
3.07428571428571,-27.3022843104209,-0.345579856257967
3.08,-26.9664398932706,-0.346723892505121
3.08571428571429,-26.6278377041649,-0.347920455504989
3.09142857142857,-26.2893817275252,-0.34916789450903
3.09714285714286,-25.9534961939462,-0.350464247361946
3.10285714285714,-25.6221603321158,-0.351807276328662
3.10857142857143,-25.2969552819236,-0.353194505852045
3.11428571428571,-24.9791155929803,-0.354623261523565
3.12,-24.6695802974527,-0.356090709555858
3.12571428571429,-24.369040562791,-0.357593896066442
3.13142857142857,-24.0779823841905,-0.359129785516552
3.13714285714286,-23.7967237507651,-0.360695297696355
3.14285714285714,-23.5254463248527,-0.362287342705835
3.14857142857143,-23.2642220167619,-0.363902853448717
3.15428571428571,-23.0130350044092,-0.365538815231594
3.16,-22.7717998034328,-0.367192292140684
3.16571428571429,-22.5403759840375,-0.368860449951709
3.17142857142857,-22.3185800861557,-0.370540575411356
3.17714285714286,-22.1061952237609,-0.372230091810574
3.18285714285714,-21.9029788038226,-0.373926570847102
3.18857142857143,-21.7086687219365,-0.375627740846694
3.19428571428571,-21.5229883384374,-0.377331491476912
3.2,-21.3456504870741,-0.379035875144426
3.20571428571429,-21.1763607234013,-0.380739105314894
3.21142857142857,-21.0148199814657,-0.382439552034903
3.21714285714286,-20.8607267745547,-0.384135734968368
3.22285714285714,-20.7137790479517,-0.38582631428561
3.22857142857143,-20.5736757680949,-0.387510079764737
3.23428571428571,-20.4401183126443,-0.389185938481821
3.24,-20.3128117091285,-0.390852901480504
3.24571428571429,-20.1914657556541,-0.392510069824378
3.25142857142857,-20.0757960452109,-0.394156620446268
3.25714285714286,-19.9655249051211,-0.395791792218158
3.26285714285714,-19.8603822549321,-0.397414872672605
3.26857142857143,-19.7601063793241,-0.399025185810684
3.27428571428571,-19.6644446073076,-0.400622081429775
3.28,-19.5731538849279,-0.402204926397828
3.28571428571429,-19.4860012258472,-0.403773098283292
3.29142857142857,-19.4027640223765,-0.405325981724627
3.29714285714286,-19.323230198758,-0.40686296788557
3.30285714285714,-19.2471981886378,-0.408383457292991
3.30857142857143,-19.17447671966,-0.409886866293623
3.31428571428571,-19.1048843899177,-0.411372637293384
3.32,-19.0382490235426,-0.41284025286129
3.32571428571429,-18.9744067958016,-0.41428925369092
3.33142857142857,-18.9132011224624,-0.415719260311635
3.33714285714286,-18.8544813121154,-0.417129998350977
3.34285714285714,-18.7981009860147,-0.418521327041222
3.34857142857143,-18.7439162757898,-0.419893270570635
3.35428571428571,-18.6917838161645,-0.421246051785864
3.36,-18.6415585573873,-0.422580127667844
3.36571428571429,-18.5930914304118,-0.423896225929078
3.37142857142857,-18.5462269069586,-0.425195382018825
3.37714285714286,-18.5008005063743,-0.426478975775031
3.38285714285714,-18.4566363115089,-0.427748766930777
3.38857142857143,-18.4135445663863,-0.429006928667908
3.39428571428571,-18.3713194388389,-0.430256078413136
3.4,-18.3297370409485,-0.431499305091593
3.40571428571429,-18.288553808335,-0.432740192089127
3.41142857142857,-18.2475053451398,-0.433982835226079
3.41714285714286,-18.2063058438957,-0.43523185511151
3.42285714285714,-18.1646481871701,-0.436492403323527
3.42857142857143,-18.1222048297097,-0.437770161949354
3.43428571428571,-18.0786295447112,-0.439071336111915
3.44,-18.033560094935,-0.440402639208973
3.44571428571429,-17.9866218582959,-0.441771270690371
3.45142857142857,-17.9374323985364,-0.443184886299563
3.45714285714286,-17.8856069257265,-0.444651560802632
3.46285714285714,-17.8307645406605,-0.446179743322604
3.46857142857143,-17.7725351047661,-0.447778205486303
3.47428571428571,-17.710566526812,-0.449455982676324
3.48,-17.6445322139884,-0.451222308761411
3.48571428571429,-17.5741384025279,-0.453086544756399
3.49142857142857,-17.4991310662029,-0.455058101937399
3.49714285714286,-17.4193021030543,-0.457146360011911
3.50285714285714,-17.3344945232445,-0.459360581015792
3.50857142857143,-17.244606403626,-0.461709819682571
3.51428571428571,-17.1495934349713,-0.464202831102376
3.52,-17.0494699612289,-0.466847976560333
3.52571428571429,-16.9443084905898,-0.469653128513372
3.53142857142857,-16.8342377386318,-0.472625575730134
3.53714285714286,-16.7194393375456,-0.47577192967774
3.54285714285714,-16.6001434065166,-0.479098033288027
3.54857142857143,-16.4766232224461,-0.482608873273269
3.55428571428571,-16.3491892550983,-0.486308497181601
3.56,-16.2181828362818,-0.490199936385495
3.56571428571429,-16.0839697205914,-0.494285136177299
3.57142857142857,-15.9469337687113,-0.498564894105307
3.57714285714286,-15.8074709474026,-0.50303880761812
3.58285714285714,-15.6659837973927,-0.507705231996092
3.58857142857143,-15.522876475543,-0.512561249436484
3.59428571428571,-15.3785504344215,-0.5176026500245
3.6,-15.2334007633475,-0.522823925169
3.60571428571429,-15.0878131819056,-0.528218273912038
3.61142857142857,-14.9421616506964,-0.533777622339007
3.61714285714286,-14.7968065448928,-0.539492656125717
3.62285714285714,-14.6520933236192,-0.545352866064453
3.62857142857143,-14.5083516214814,-0.551346606217877
3.63428571428571,-14.3658946868475,-0.557461164161232
3.64,-14.2250190936029,-0.563682842596677
3.64571428571429,-14.0860046581595,-0.569997051458285
3.65142857142857,-13.9491145005056,-0.576388409482135
3.65714285714286,-13.8145951963189,-0.582840854089378
3.66285714285714,-13.6826769759699,-0.589337758328923
3.66857142857143,-13.5535739351174,-0.59586205354925
3.67428571428571,-13.4274842302081,-0.602396356416705
3.68,-13.3045902402236,-0.608923098872599
3.68571428571429,-13.1850586833579,-0.615424659618557
3.69142857142857,-13.0690406837895,-0.621883495743874
3.69714285714286,-12.956671789316,-0.628282273149812
3.70285714285714,-12.8480719453096,-0.634603994489095
