"Freq [GHz]","im(S(1,1)) []","im(S(2,1)) []","im(S(1,2)) []","im(S(2,2)) []"
2,-0.201015383042718,-0.206750150642726,-0.206750150642727,-0.200757481534492
2.00571428571429,-0.201663184228533,-0.207771074705379,-0.207771074705377,-0.20149152793845
2.01142857142857,-0.202413783947113,-0.208817696356021,-0.208817696356016,-0.202325788515305
2.01714285714286,-0.203265931370554,-0.209888022779014,-0.209888022779008,-0.203258843928771
2.02285714285714,-0.204217998082468,-0.210979960240306,-0.210979960240298,-0.204288904769519
2.02857142857143,-0.205267982637184,-0.212091318469684,-0.212091318469676,-0.205413816392614
2.03428571428571,-0.206413517081548,-0.213219816132342,-0.213219816132334,-0.206631065698015
2.04,-0.207651875428533,-0.214363087382787,-0.21436308738278,-0.207937789842653
2.04571428571429,-0.208979984055362,-0.215518689480154,-0.215518689480146,-0.209330786856508
2.05142857142857,-0.210394433982158,-0.216684111429671,-0.216684111429665,-0.210806528118433
2.05714285714286,-0.2118914949698,-0.21785678360029,-0.217856783600285,-0.21236117263035
2.06285714285714,-0.213467131358253,-0.219034088253532,-0.219034088253528,-0.213990583010901
2.06857142857143,-0.215117019549364,-0.220213370904119,-0.220213370904116,-0.215690343112735
2.07428571428571,-0.21683656702152,-0.22139195241902,-0.221391952419019,-0.217455777150938
2.08,-0.218620932747626,-0.222567141748295,-0.222567141748295,-0.219281970214271
2.08571428571429,-0.220465048873505,-0.223736249169551,-0.223736249169553,-0.221163790016629
2.09142857142857,-0.222363643500738,-0.224896599917501,-0.224896599917504,-0.223095909733053
2.09714285714286,-0.224311264406977,-0.226045548061788,-0.226045548061793,-0.225072831753718
2.10285714285714,-0.226302303527904,-0.227180490490103,-0.227180490490109,-0.227088912180466
2.10857142857143,-0.2283310220187,-0.228298880849788,-0.228298880849795,-0.229138385884061
2.11428571428571,-0.230391575708783,-0.22939824329967,-0.229398243299678,-0.231215391936453
2.12,-0.232478040762763,-0.230476185925098,-0.230476185925107,-0.23331399923116
2.12571428571429,-0.234584439361864,-0.231530413673018,-0.231530413673029,-0.235428232106538
2.13142857142857,-0.236704765224649,-0.232558740670132,-0.232558740670143,-0.237552095790925
2.13714285714286,-0.238833008792579,-0.233559101795905,-0.233559101795917,-0.239679601495497
2.14285714285714,-0.240963181915338,-0.234529563393151,-0.234529563393163,-0.241804790990015
2.14857142857143,-0.243089341882655,-0.235468333011836,-0.235468333011849,-0.243921760508217
2.15428571428571,-0.245205614662347,-0.236373768096149,-0.236373768096162,-0.246024683842898
2.16,-0.247306217219873,-0.237244383540942,-0.237244383540956,-0.248107834505859
2.16571428571429,-0.249385478810559,-0.238078858060376,-0.238078858060389,-0.250165606844133
2.17142857142857,-0.251437861152897,-0.238876039328964,-0.238876039328977,-0.252192536020899
2.17714285714286,-0.253457977408915,-0.239634947872876,-0.239634947872889,-0.254183316787022
2.18285714285714,-0.25544060991488,-0.240354779706682,-0.240354779706695,-0.256132820986815
2.18857142857143,-0.25738072662311,-0.241034907727453,-0.241034907727465,-0.258036113758663
2.19428571428571,-0.259273496231979,-0.241674881894167,-0.241674881894179,-0.259888468407859
2.2,-0.261114301996772,-0.242274428234931,-0.242274428234942,-0.261685379944523
2.20571428571429,-0.262898754228214,-0.242833446737814,-0.242833446737826,-0.263422577293634
2.21142857142857,-0.264622701498459,-0.243352008192802,-0.243352008192812,-0.265096034197357
2.21714285714286,-0.26628224058521,-0.243830350062053,-0.243830350062063,-0.266701978840719
2.22285714285714,-0.267873725194122,-0.24426887146367,-0.24426887146368,-0.268236902241263
2.22857142857143,-0.269393773507213,-0.244668127360222,-0.244668127360231,-0.269697565451128
2.23428571428571,-0.270839274610706,-0.245028822047347,-0.245028822047356,-0.271081005625523
2.24,-0.272207393859831,-0.245351802040082,-0.245351802040089,-0.272384541015938
2.24571428571429,-0.273495577240187,-0.245638048454994,-0.245638048455,-0.27360577494866
2.25142857142857,-0.274701554786389,-0.245888668985202,-0.245888668985208,-0.274742598850079
2.25714285714286,-0.275823343117644,-0.246104889562655,-0.24610488956266,-0.275793194379684
2.26285714285714,-0.27685924714844,-0.24628804579825,-0.246288045798254,-0.276756034729708
2.26857142857143,-0.277807861029101,-0.246439574285298,-0.246439574285302,-0.277629885147733
2.27428571428571,-0.278668068367695,-0.246561003845994,-0.246561003845997,-0.278413802734462
2.28,-0.279439041779763,-0.246653946793869,-0.246653946793871,-0.279107135564811
2.28571428571429,-0.280120241807657,-0.246720090277917,-0.246720090277919,-0.279709521175014
2.29142857142857,-0.280711415245997,-0.246761187766805,-0.246761187766807,-0.28022088445377
2.29714285714286,-0.281212592904146,-0.246779050723499,-0.2467790507235,-0.28064143496944
2.30285714285714,-0.281624086831417,-0.246775540513198,-0.246775540513198,-0.280971663760377
2.30857142857143,-0.281946487025141,-0.246752560579462,-0.246752560579462,-0.281212339609802
2.31428571428571,-0.28218065763718,-0.246712048916353,-0.246712048916352,-0.281364504821954
2.32,-0.282327732689279,-0.246655970856826,-0.246655970856825,-0.281429470511264
2.32571428571429,-0.28238911130391,-0.24658631219123,-0.246586312191229,-0.281408811412184
2.33142857142857,-0.282366452453165,-0.246505072623319,-0.246505072623318,-0.281304360213611
2.33714285714286,-0.282261669225271,-0.246414259565351,-0.24641425956535,-0.281118201418421
2.34285714285714,-0.282076922605635,-0.24631588226881,-0.246315882268809,-0.280852664726167
2.34857142857143,-0.281814614766917,-0.246211946282272,-0.246211946282271,-0.280510317934643
2.35428571428571,-0.281477381860635,-0.246104448223771,-0.246104448223769,-0.280093959354802
2.36,-0.281068086303723,-0.245995370852366,-0.245995370852364,-0.279606609732193
2.36571428571429,-0.280589808563612,-0.245886678425691,-0.24588667842569,-0.279051503668063
2.37142857142857,-0.280045838419406,-0.245780312314202,-0.245780312314201,-0.278432080532945
2.37714285714286,-0.279439665670175,-0.245678186839957,-0.245678186839956,-0.277751974866592
2.38285714285714,-0.278774970331882,-0.245582185338509,-0.245582185338508,-0.277015006258886
2.38857142857143,-0.278055612300584,-0.245494156408812,-0.245494156408811,-0.276225168707853
2.39428571428571,-0.277285620468885,-0.245415910320923,-0.245415910320922,-0.275386619453074
2.4,-0.276469181301049,-0.24534921555858,-0.245349215558579,-0.274503667284642
2.40571428571429,-0.275610626870444,-0.245295795472013,-0.245295795472012,-0.273580760330663
2.41142857142857,-0.274714422364468,-0.24525732501644,-0.24525732501644,-0.272622473329013
2.41714285714286,-0.273785153065218,-0.245235427552835,-0.245235427552835,-0.271633494392164
2.42285714285714,-0.272827510817765,-0.245231671689182,-0.245231671689183,-0.270618611277228
2.42857142857143,-0.271846280001302,-0.245247568142166,-0.245247568142167,-0.269582697176896
2.43428571428571,-0.270846323022427,-0.245284566601432,-0.245284566601433,-0.268530696050625
2.44,-0.26983256535332,-0.245344052580745,-0.245344052580746,-0.26746760751912
2.44571428571429,-0.268809980141931,-0.245427344243241,-0.245427344243243,-0.266398471349429
2.45142857142857,-0.267783572425185,-0.245535689190624,-0.245535689190626,-0.265328351561582
2.45714285714286,-0.266758362980437,-0.245670261209385,-0.245670261209387,-0.264262320192239
2.46285714285714,-0.265739371854566,-0.245832156970302,-0.245832156970305,-0.263205440754755
2.46857142857143,-0.264731601614636,-0.246022392681127,-0.24602239268113,-0.26216275143931
2.47428571428571,-0.263740020367955,-0.246241900695877,-0.24624190069588,-0.261139248101245
2.48,-0.262769544603996,-0.246491526088023,-0.246491526088027,-0.260139867089647
2.48571428571429,-0.26182502191472,-0.246772023198779,-0.246772023198783,-0.25916946797276
2.49142857142857,-0.260911213654179,-0.247084052175707,-0.247084052175711,-0.25823281622071
2.49714285714286,-0.260032777602193,-0.247428175520885,-0.247428175520889,-0.257334565910319
2.50285714285714,-0.259194250701176,-0.24780485467203,-0.247804854672035,-0.256479242520624
2.50857142857143,-0.258400031938733,-0.248214446643895,-0.2482144466439,-0.255671225891401
2.51428571428571,-0.257654365452348,-0.248657200761275,-0.24865720076128,-0.254914733420805
2.52,-0.256961323935892,-0.249133255518783,-0.249133255518787,-0.254213803581251
2.52571428571429,-0.25632479243051,-0.249642635605999,-0.249642635606004,-0.25357227983572
2.53142857142857,-0.25574845258517,-0.250185249140103,-0.250185249140108,-0.252993795039326
2.53714285714286,-0.255235767474176,-0.250760885150741,-0.250760885150746,-0.252481756412689
2.54285714285714,-0.25478996706063,-0.251369211365152,-0.251369211365157,-0.252039331176624
2.54857142857143,-0.254414034395666,-0.252009772343554,-0.252009772343559,-0.251669432938597
2.55428571428571,-0.254110692643688,-0.252681988011734,-0.252681988011739,-0.251374708912752
2.56,-0.253882393023173,-0.253385152645971,-0.253385152645975,-0.251157528069768
2.56571428571429,-0.253731303751296,-0.254118434363679,-0.254118434363684,-0.251019970308134
2.57142857142857,-0.253659300078346,-0.254880875165984,-0.254880875165989,-0.250963816723339
2.57714285714286,-0.253667955494616,-0.255671391582574,-0.255671391582579,-0.250990541060211
2.58285714285714,-0.253758534188011,-0.256488775965149,-0.256488775965155,-0.251101302426818
2.58857142857143,-0.253931984825277,-0.257331698471671,-0.257331698471676,-0.251296939341915
2.59428571428571,-0.254188935723182,-0.258198709778881,-0.258198709778886,-0.251577965181733
2.6,-0.254529691468258,-0.259088244554795,-0.259088244554799,-0.251944565083994
2.60571428571429,-0.254954231035024,-0.259998625716195,-0.2599986257162,-0.252396594358693
2.61142857142857,-0.255462207442613,-0.260928069488281,-0.260928069488286,-0.252933578444902
2.61714285714286,-0.256052948979069,-0.261874691275248,-0.261874691275253,-0.253554714442541
2.62285714285714,-0.256725462010556,-0.262836512340855,-0.262836512340859,-0.254258874235768
2.62857142857143,-0.257478435380455,-0.263811467288328,-0.263811467288333,-0.255044609212563
2.63428571428571,-0.258310246389865,-0.264797412318115,-0.264797412318119,-0.255910156571563
2.64,-0.259218968337473,-0.265792134231219,-0.265792134231223,-0.256853447193866
2.64571428571429,-0.260202379582968,-0.266793360134831,-0.266793360134835,-0.257872115043204
2.65142857142857,-0.261257974083726,-0.26779876779583,-0.267798767795834,-0.25896350804438
2.65714285714286,-0.262382973341385,-0.26880599657729,-0.268805996577293,-0.260124700375583
2.66285714285714,-0.263574339680772,-0.269812658882677,-0.269812658882681,-0.261352506097127
2.66857142857143,-0.264828790771684,-0.27081635202335,-0.270816352023354,-0.262643494026413
2.67428571428571,-0.266142815291592,-0.271814670416208,-0.271814670416211,-0.263994003756913
2.68,-0.267512689617383,-0.272805218011453,-0.272805218011457,-0.265400162708588
2.68571428571429,-0.268934495424295,-0.273785620844284,-0.273785620844288,-0.266857904087675
2.69142857142857,-0.270404138063261,-0.274753539600335,-0.274753539600338,-0.268362985626259
2.69714285714286,-0.271917365581494,-0.27570668208187,-0.275706682081873,-0.2699110089659
