"Freq [GHz]","re(Zo(1)) []"
2,49.9572910994352
2.00571428571429,49.9568033795945
2.01142857142857,49.9563172205277
2.01714285714286,49.955832638988
2.02285714285714,49.9553496517181
2.02857142857143,49.9548682754496
2.03428571428571,49.9543885269025
2.04,49.9539104227852
2.04571428571429,49.953433979793
2.05142857142857,49.9529592146086
2.05714285714286,49.9524861439009
2.06285714285714,49.9520147843248
2.06857142857143,49.9515451525207
2.07428571428571,49.951077265114
2.08,49.9506111387142
2.08571428571429,49.9501467899153
2.09142857142857,49.9496842352942
2.09714285714286,49.9492234914111
2.10285714285714,49.9487645748085
2.10857142857143,49.948307502011
2.11428571428571,49.9478522895247
2.12,49.9473989538367
2.12571428571429,49.9469475114145
2.13142857142857,49.9464979787058
2.13714285714286,49.9460503721378
2.14285714285714,49.9456047081169
2.14857142857143,49.945161003028
2.15428571428571,49.9447192732344
2.16,49.9442795350768
2.16571428571429,49.9438418048733
2.17142857142857,49.9434060989187
2.17714285714286,49.9429724334842
2.18285714285714,49.9425408248168
2.18857142857143,49.9421112891388
2.19428571428571,49.9416838426476
2.2,49.9412585015149
2.20571428571429,49.9408352818866
2.21142857142857,49.9404141998821
2.21714285714286,49.939995271594
2.22285714285714,49.9395785130876
2.22857142857143,49.9391639404004
2.23428571428571,49.9387515695417
2.24,49.9383414164923
2.24571428571429,49.937933497204
2.25142857142857,49.9375278275988
2.25714285714286,49.9371244235692
2.26285714285714,49.9367233009771
2.26857142857143,49.9363244756537
2.27428571428571,49.9359279633991
2.28,49.9355337799818
2.28571428571429,49.9351419411382
2.29142857142857,49.9347524625723
2.29714285714286,49.9343653599552
2.30285714285714,49.9339806489249
2.30857142857143,49.9335983450856
2.31428571428571,49.9332184640076
2.32,49.9328410212265
2.32571428571429,49.9324660322431
2.33142857142857,49.9320935125232
2.33714285714286,49.9317234774966
2.34285714285714,49.9313559425571
2.34857142857143,49.9309909230622
2.35428571428571,49.9306284343325
2.36,49.9302684916513
2.36571428571429,49.9299111102643
2.37142857142857,49.9295563053794
2.37714285714286,49.9292040921659
2.38285714285714,49.9288544857545
2.38857142857143,49.9285075012366
2.39428571428571,49.9281631536644
2.4,49.9278214580499
2.40571428571429,49.9274824293652
2.41142857142857,49.9271460825415
2.41714285714286,49.9268124324693
2.42285714285714,49.9264814939976
2.42857142857143,49.9261532819338
2.43428571428571,49.9258278110433
2.44,49.925505096049
2.44571428571429,49.9251851516311
2.45142857142857,49.9248679924269
2.45714285714286,49.92455363303
2.46285714285714,49.9242420879904
2.46857142857143,49.9239333718138
2.47428571428571,49.9236274989618
2.48,49.9233244838508
2.48571428571429,49.9230243408524
2.49142857142857,49.9227270842925
2.49714285714286,49.9224327284513
2.50285714285714,49.922141287563
2.50857142857143,49.9218527758152
2.51428571428571,49.9215672073488
2.52,49.9212845962576
2.52571428571429,49.9210049565881
2.53142857142857,49.9207283023391
2.53714285714286,49.9204546474611
2.54285714285714,49.9201840058565
2.54857142857143,49.9199163913792
2.55428571428571,49.9196518178338
2.56,49.9193902989758
2.56571428571429,49.9191318485114
2.57142857142857,49.9188764800964
2.57714285714286,49.9186242073371
2.58285714285714,49.9183750437888
2.58857142857143,49.9181290029565
2.59428571428571,49.9178860982939
2.6,49.9176463432036
2.60571428571429,49.9174097510363
2.61142857142857,49.9171763350913
2.61714285714286,49.9169461086153
2.62285714285714,49.9167190848029
2.62857142857143,49.9164952767959
2.63428571428571,49.916274697683
2.64,49.9160573604998
2.64571428571429,49.9158432782284
2.65142857142857,49.9156324637971
2.65714285714286,49.9154249300802
2.66285714285714,49.9152206898977
2.66857142857143,49.9150197560149
2.67428571428571,49.9148221411425
2.68,49.9146278579362
2.68571428571429,49.914436918996
2.69142857142857,49.9142493368669
2.69714285714286,49.9140651240376
2.70285714285714,49.913884292941
2.70857142857143,49.9137068559539
2.71428571428571,49.9135328253961
2.72,49.913362213531
2.72571428571429,49.913195032565
2.73142857142857,49.9130312946472
2.73714285714286,49.9128710118692
2.74285714285714,49.912714196265
2.74857142857143,49.9125608598107
2.75428571428571,49.9124110144242
2.76,49.9122646719651
2.76571428571429,49.9121218442346
2.77142857142857,49.9119825429749
2.77714285714286,49.9118467798693
2.78285714285714,49.9117145665419
2.78857142857143,49.9115859145575
2.79428571428571,49.9114608354211
2.8,49.911339340578
2.80571428571429,49.9112214414136
2.81142857142857,49.911107149253
2.81714285714286,49.9109964753607
2.82285714285714,49.9108894309409
2.82857142857143,49.910786027137
2.83428571428571,49.9106862750311
2.84,49.9105901856446
2.84571428571429,49.9104977699371
2.85142857142857,49.9104090388071
2.85714285714286,49.9103240030911
2.86285714285714,49.9102426735638
2.86857142857143,49.9101650609378
2.87428571428571,49.9100911758637
2.88,49.9100210289293
2.88571428571429,49.9099546306603
2.89142857142857,49.9098919915192
2.89714285714286,49.909833121906
2.90285714285714,49.9097780321574
2.90857142857143,49.9097267325471
2.91428571428571,49.9096792332851
2.92,49.9096355445182
2.92571428571429,49.9095956763293
2.93142857142857,49.9095596387377
2.93714285714286,49.9095274416986
2.94285714285714,49.9094990951031
2.94857142857143,49.9094746087779
2.95428571428571,49.9094539924856
2.96,49.909437255924
2.96571428571429,49.9094244087265
2.97142857142857,49.9094154604614
2.97714285714286,49.9094104206322
2.98285714285714,49.9094092986774
2.98857142857143,49.9094121039703
2.99428571428571,49.9094188458188
3,49.9094295334654
3.00571428571429,49.909444176087
3.01142857142857,49.909462782795
3.01714285714286,49.9094853626348
3.02285714285714,49.9095119245861
3.02857142857143,49.9095424775625
