"lumpcapacitance [pF]","lumpinductance [nH]","Freq [GHz]","ang_deg(S(1,1)) [deg]"
0,20,2,-107.335782056567
0,20,2.00571428571429,-110.774178917109
0,20,2.01142857142857,-114.224582796604
0,20,2.01714285714286,-117.686423727008
0,20,2.02285714285714,-121.159115223712
0,20,2.02857142857143,-124.642055252677
0,20,2.03428571428571,-128.134627310861
0,20,2.04,-131.636201617891
0,20,2.04571428571429,-135.146136415378
0,20,2.05142857142857,-138.663779369461
0,20,2.05714285714286,-142.188469070782
0,20,2.06285714285714,-145.719536625015
0,20,2.06857142857143,-149.256307326172
0,20,2.07428571428571,-152.798102403605
0,20,2.08,-156.344240833065
0,20,2.08571428571429,-159.894041201004
0,20,2.09142857142857,-163.446823610942
0,20,2.09714285714286,-167.001911619953
0,20,2.10285714285714,-170.55863419289
0,20,2.10857142857143,-174.116327661931
0,20,2.11428571428571,-177.674337678541
0,20,2.12,178.767978854602
0,20,2.12571428571429,175.211251884397
0,20,2.13142857142857,171.656096352783
0,20,2.13714285714286,168.103110398594
0,20,2.14285714285714,164.552873626884
0,20,2.14857142857143,161.00594545584
0,20,2.15428571428571,157.462863550918
0,20,2.16,153.924142354479
0,20,2.16571428571429,150.390271718601
0,20,2.17142857142857,146.861715647295
0,20,2.17714285714286,143.338911153495
0,20,2.18285714285714,139.822267235025
0,20,2.18857142857143,136.31216397243
0,20,2.19428571428571,132.808951750754
0,20,2.2,129.31295060592
0,20,2.20571428571429,125.824449695659
0,20,2.21142857142857,122.343706893672
0,20,2.21714285714286,118.87094850496
0,20,2.22285714285714,115.406369099466
0,20,2.22857142857143,111.950131460191
0,20,2.23428571428571,108.502366641651
0,20,2.24,105.063174133584
0,20,2.24571428571429,101.632622124759
0,20,2.25142857142857,98.2107478609969
0,20,2.25714285714286,94.797558091504
0,20,2.26285714285714,91.393029597378
0,20,2.26857142857143,87.9971097958873
0,20,2.27428571428571,84.6097174144157
0,20,2.28,81.2307432276539
0,20,2.28571428571429,77.8600508521274
0,20,2.29142857142857,74.4974775919883
0,20,2.29714285714286,71.1428353304568
0,20,2.30285714285714,67.795911461577
0,20,2.30857142857143,64.4564698570656
0,20,2.31428571428571,61.1242518637139
0,20,2.32,57.798977326808
0,20,2.32571428571429,54.4803456357983
0,20,2.33142857142857,51.1680367885139
0,20,2.33714285714286,47.8617124708401
0,20,2.34285714285714,44.5610171491724
0,20,2.34857142857143,41.2655791731717
0,20,2.35428571428571,37.9750118870421
0,20,2.36,34.6889147475826
0,20,2.36571428571429,31.4068744479756
0,20,2.37142857142857,28.1284660462935
0,20,2.37714285714286,24.8532540982225
0,20,2.38285714285714,21.5807937937848
0,20,2.38857142857143,18.3106320979141
0,20,2.39428571428571,15.0423088952679
0,20,2.4,11.7753581395193
0,20,2.40571428571429,8.50930900788521
0,20,2.41142857142857,5.24368706145533
0,20,2.41714285714286,1.97801541219025
0,20,2.42285714285714,-1.28818410250092
0,20,2.42857142857143,-4.55538973685759
0,20,2.43428571428571,-7.82407864451476
0,20,2.44,-11.094725676278
0,20,2.44571428571429,-14.3678021670644
0,20,2.45142857142857,-17.6437747115946
0,20,2.45714285714286,-20.9231039284265
0,20,2.46285714285714,-24.2062432121353
0,20,2.46857142857143,-27.4936374739259
0,20,2.47428571428571,-30.785721870952
0,20,2.48,-34.0829205253444
0,20,2.48571428571429,-37.3856452339736
0,20,2.49142857142857,-40.6942941707399
0,20,2.49714285714286,-44.0092505834622
0,20,2.50285714285714,-47.3308814879342
0,20,2.50857142857143,-50.6595363624737
0,20,2.51428571428571,-53.9955458465297
0,20,2.52,-57.3392204478678
0,20,2.52571428571429,-60.690849263106
0,20,2.53142857142857,-64.0506987173007
0,20,2.53714285714286,-67.4190113287149
0,20,2.54285714285714,-70.7960045054965
0,20,2.54857142857143,-74.1818693818025
0,20,2.55428571428571,-77.5767697011362
0,20,2.56,-80.9808407555512
0,20,2.56571428571429,-84.394188389489
0,20,2.57142857142857,-87.8168880777337
0,20,2.57714285714286,-91.2489840870828
0,20,2.58285714285714,-94.6904887315718
0,20,2.58857142857143,-98.1413817313947
0,20,2.59428571428571,-101.601609685342
0,20,2.6,-105.0710856668
0,20,2.60571428571429,-108.549688952709
0,20,2.61142857142857,-112.037264894758
0,20,2.61714285714286,-115.533624941306
0,20,2.62285714285714,-119.038546817724
0,20,2.62857142857143,-122.551774872163
0,20,2.63428571428571,-126.073020592295
0,20,2.64,-129.601963297702
0,20,2.64571428571429,-133.138251010799
0,20,2.65142857142857,-136.681501507978
0,20,2.65714285714286,-140.231303550773
0,20,2.66285714285714,-143.787218295082
0,20,2.66857142857143,-147.348780874867
0,20,2.67428571428571,-150.915502154532
0,20,2.68,-154.486870642647
0,20,2.68571428571429,-158.062354557446
0,20,2.69142857142857,-161.641404033039
0,20,2.69714285714286,-165.223453453312
0,20,2.70285714285714,-168.807923898892
0,20,2.70857142857143,-172.394225691289
0,20,2.71428571428571,-175.981761016718
0,20,2.72,-179.569926611426
0,20,2.72571428571429,176.841883510896
0,20,2.73142857142857,173.25427530923
0,20,2.73714285714286,169.667851963043
0,20,2.74285714285714,166.083211138018
0,20,2.74857142857143,162.500942289427
0,20,2.75428571428571,158.921624022769
0,20,2.76,155.345821530119
0,20,2.76571428571429,151.774084120017
0,20,2.77142857142857,148.20694285718
0,20,2.77714285714286,144.644908327124
0,20,2.78285714285714,141.088468539168
0,20,2.78857142857143,137.53808697944
0,20,2.79428571428571,133.99420082396
0,20,2.8,130.457219319691
0,20,2.80571428571429,126.927522339903
0,20,2.81142857142857,123.405459117959
0,20,2.81714285714286,119.891347162019
0,20,2.82285714285714,116.385471351335
0,20,2.82857142857143,112.888083212943
0,20,2.83428571428571,109.399400376282
0,20,2.84,105.919606201458
0,20,2.84571428571429,102.448849575974
0,20,2.85142857142857,98.9872448732262
0,20,2.85714285714286,95.5348720653488
0,20,2.86285714285714,92.0917769821645
0,20,2.86857142857143,88.6579717071545
0,20,2.87428571428571,85.2334351012248
0,20,2.88,81.8181134443618
0,20,2.88571428571429,78.411921185468
0,20,2.89142857142857,75.0147417903246
0,20,2.89714285714286,71.626428677913
0,20,2.90285714285714,68.2468062355539
0,20,2.90857142857143,64.87567090342
0,20,2.91428571428571,61.5127923196926
0,20,2.92,58.1579145177375
0,20,2.92571428571429,54.8107571675552
0,20,2.93142857142857,51.4710168539999
0,20,2.93714285714286,48.1383683850522
0,20,2.94285714285714,44.8124661240464
0,20,2.94857142857143,41.49294534017
0,20,2.95428571428571,38.1794235724862
0,20,2.96,34.8715020029807
0,20,2.96571428571429,31.5687668350816
0,20,2.97142857142857,28.2707906743433
0,20,2.97714285714286,24.9771339087153
0,20,2.98285714285714,21.6873460863214
0,20,2.98857142857143,18.4009672889236
0,20,2.99428571428571,15.1175294999872
0,20,3,11.8365579662696
0,20,3.00571428571429,8.55757255253704
0,20,3.01142857142857,5.28008908897668
0,20,3.01714285714286,2.00362071128512
0,20,3.02285714285714,-1.27232080640621
0,20,3.02857142857143,-4.54822372567854
0,20,3.03428571428571,-7.82457502457244
0,20,3.04,-11.1018590847802
0,20,3.04571428571429,-14.3805563848114
0,20,3.05142857142857,-17.6611421990424
0,20,3.05714285714286,-20.9440853024772
0,20,3.06285714285714,-24.2298466812284
0,20,3.06857142857143,-27.5188782491152
0,20,3.07428571428571,-30.8116215707357
0,20,3.08,-34.1085065919987
0,20,3.08571428571429,-37.409950379083
0,20,3.09142857142857,-40.7163558674881
0,20,3.09714285714286,-44.0281106230112
0,20,3.10285714285714,-47.345585616938
0,20,3.10857142857143,-50.669134018365
0,20,3.11428571428571,-53.9990900067212
0,20,3.12,-57.3357676083923
0,20,3.12571428571429,-60.6794595614789
0,20,3.13142857142857,-64.0304362135171
0,20,3.13714285714286,-67.3889444572573
0,20,3.14285714285714,-70.755206710064
0,20,3.14857142857143,-74.1294199431185
0,20,3.15428571428571,-77.5117547666806
0,20,3.16,-80.9023545783726
0,20,3.16571428571429,-84.3013347813869
0,20,3.17142857142857,-87.708782080049
0,20,3.17714285714286,-91.1247538601404
0,20,3.18285714285714,-94.5492776614178
0,20,3.18857142857143,-97.9823507499755
0,20,3.19428571428571,-101.423939797601
0,20,3.2,-104.873980675419
0,20,3.20571428571429,-108.332378368386
0,20,3.21142857142857,-111.799007017036
0,20,3.21714285714286,-115.27371009207
0,20,3.22285714285714,-118.756300706649
0,20,3.22857142857143,-122.246562070624
0,20,3.23428571428571,-125.744248089601
0,20,3.24,-129.249084111075
0,20,3.24571428571429,-132.760767818286
0,20,3.25142857142857,-136.278970271547
0,20,3.25714285714286,-139.803337095241
0,20,3.26285714285714,-143.333489807279
0,20,3.26857142857143,-146.869027286663
0,20,3.27428571428571,-150.409527372957
0,20,3.28,-153.954548590514
0,20,3.28571428571429,-157.503631988473
0,20,3.29142857142857,-161.05630308664
0,20,3.29714285714286,-164.612073915866
0,20,3.30285714285714,-168.170445140438
0,20,3.30857142857143,-171.730908249237
0,20,3.31428571428571,-175.292947801212
0,20,3.32,-178.856043710447
0,20,3.32571428571429,177.580326444787
0,20,3.33142857142857,174.016685104555
0,20,3.33714285714286,170.453552417229
0,20,3.34285714285714,166.891443952704
0,20,3.34857142857143,163.330868454128
0,20,3.35428571428571,159.77232564328
0,20,3.36,156.216304093685
0,20,3.36571428571429,152.663279185101
0,20,3.37142857142857,149.113711151683
0,20,3.37714285714286,145.568043235235
0,20,3.38285714285714,142.026699953717
0,20,3.38857142857143,138.490085493657
0,20,3.39428571428571,134.958582234083
0,20,3.4,131.432549407757
0,20,3.40571428571429,127.912321904487
0,20,3.41142857142857,124.398209219477
0,20,3.41714285714286,120.890494548532
0,20,3.42285714285714,117.389434030539
0,20,3.42857142857143,113.895256136204
0,20,3.43428571428571,110.408161201124
0,20,3.44,106.928321099801
0,20,3.44571428571429,103.455879056607
0,20,3.45142857142857,99.9909495884703
0,20,3.45714285714286,96.5336185735012
0,20,3.46285714285714,93.0839434391548
0,20,3.46857142857143,89.6419534627725
0,20,3.47428571428571,86.2076501773061
0,20,3.48,82.7810078743432
0,20,3.48571428571429,79.3619741967714
0,20,3.49142857142857,75.9504708130078
0,20,3.49714285714286,72.5463941649494
