"Freq [GHz]","re(Zo(1)) []"
2,50.0814532188422
2.00571428571429,50.0809651773956
2.01142857142857,50.0804786976944
2.01714285714286,50.079993796577
2.02285714285714,50.0795104908698
2.02857142857143,50.0790287973873
2.03428571428571,50.0785487329312
2.04,50.0780703142903
2.04571428571429,50.0775935582392
2.05142857142857,50.0771184815386
2.05714285714286,50.0766451009345
2.06285714285714,50.0761734331574
2.06857142857143,50.0757034949222
2.07428571428571,50.0752353029274
2.08,50.074768873855
2.08571428571429,50.0743042243694
2.09142857142857,50.0738413711175
2.09714285714286,50.0733803307277
2.10285714285714,50.07292111981
2.10857142857143,50.0724637549548
2.11428571428571,50.072008252733
2.12,50.0715546296953
2.12571428571429,50.0711029023716
2.13142857142857,50.0706530872708
2.13714285714286,50.07020520088
2.14285714285714,50.0697592596644
2.14857142857143,50.0693152800665
2.15428571428571,50.0688732785058
2.16,50.0684332713783
2.16571428571429,50.0679952750562
2.17142857142857,50.067559305887
2.17714285714286,50.0671253801935
2.18285714285714,50.0666935142734
2.18857142857143,50.0662637243982
2.19428571428571,50.0658360268135
2.2,50.0654104377381
2.20571428571429,50.0649869733639
2.21142857142857,50.0645656498549
2.21714285714286,50.0641464833477
2.22285714285714,50.0637294899498
2.22857142857143,50.0633146857404
2.23428571428571,50.0629020867692
2.24,50.0624917090563
2.24571428571429,50.0620835685916
2.25142857142857,50.0616776813345
2.25714285714286,50.0612740632135
2.26285714285714,50.0608727301256
2.26857142857143,50.060473697936
2.27428571428571,50.060076982478
2.28,50.0596825995519
2.28571428571429,50.0592905649252
2.29142857142857,50.058900894332
2.29714285714286,50.0585136034724
2.30285714285714,50.0581287080125
2.30857142857143,50.0577462235836
2.31428571428571,50.0573661657821
2.32,50.0569885501689
2.32571428571429,50.0566133922693
2.33142857142857,50.0562407075722
2.33714285714286,50.0558705115299
2.34285714285714,50.055502819558
2.34857142857143,50.0551376470346
2.35428571428571,50.0547750093
2.36,50.0544149216568
2.36571428571429,50.0540573993685
2.37142857142857,50.0537024576604
2.37714285714286,50.0533501117184
2.38285714285714,50.0530003766885
2.38857142857143,50.0526532676774
2.39428571428571,50.0523087997508
2.4,50.0519669879344
2.40571428571429,50.0516278472126
2.41142857142857,50.0512913925282
2.41714285714286,50.0509576387828
2.42285714285714,50.0506266008355
2.42857142857143,50.0502982935033
2.43428571428571,50.0499727315602
2.44,50.0496499297373
2.44571428571429,50.0493299027222
2.45142857142857,50.0490126651586
2.45714285714286,50.0486982316463
2.46285714285714,50.0483866167404
2.46857142857143,50.0480778349516
2.47428571428571,50.0477719007451
2.48,50.0474688285408
2.48571428571429,50.0471686327131
2.49142857142857,50.0468713275898
2.49714285714286,50.0465769274529
2.50285714285714,50.0462854465372
2.50857142857143,50.0459968990307
2.51428571428571,50.0457112990741
2.52,50.0454286607604
2.52571428571429,50.0451489981344
2.53142857142857,50.0448723251931
2.53714285714286,50.0445986558846
2.54285714285714,50.0443280041081
2.54857142857143,50.0440603837138
2.55428571428571,50.0437958085025
2.56,50.043534292225
2.56571428571429,50.0432758485822
2.57142857142857,50.0430204912246
2.57714285714286,50.0427682337522
2.58285714285714,50.0425190897139
2.58857142857143,50.0422730726075
2.59428571428571,50.0420301958794
2.6,50.0417904729241
2.60571428571429,50.0415539170843
2.61142857142857,50.04132054165
2.61714285714286,50.041090359859
2.62285714285714,50.0408633848961
2.62857142857143,50.0406396298931
2.63428571428571,50.0404191079283
2.64,50.0402018320264
2.64571428571429,50.0399878151583
2.65142857142857,50.0397770702406
2.65714285714286,50.0395696101356
2.66285714285714,50.0393654476509
2.66857142857143,50.0391645955393
2.67428571428571,50.0389670664982
2.68,50.0387728731698
2.68571428571429,50.0385820281407
2.69142857142857,50.0383945439415
2.69714285714286,50.0382104330466
2.70285714285714,50.0380297078742
2.70857142857143,50.0378523807858
2.71428571428571,50.0376784640862
2.72,50.037507970023
2.72571428571429,50.0373409107865
2.73142857142857,50.0371772985097
2.73714285714286,50.0370171452677
2.74285714285714,50.0368604630776
2.74857142857143,50.0367072638984
2.75428571428571,50.0365575596308
2.76,50.0364113621168
2.76571428571429,50.0362686831395
2.77142857142857,50.0361295344233
2.77714285714286,50.035993927633
2.78285714285714,50.0358618743741
2.78857142857143,50.0357333861926
2.79428571428571,50.0356084745745
2.8,50.0354871509459
2.80571428571429,50.0353694266724
2.81142857142857,50.0352553130596
2.81714285714286,50.0351448213521
2.82285714285714,50.035037962734
2.82857142857143,50.0349347483282
2.83428571428571,50.0348351891965
2.84,50.0347392963394
2.84571428571429,50.0346470806958
2.85142857142857,50.0345585531429
2.85714285714286,50.034473724496
2.86285714285714,50.0343926055084
2.86857142857143,50.0343152068712
2.87428571428571,50.034241539213
2.88,50.0341716130999
2.88571428571429,50.0341054390352
2.89142857142857,50.0340430274594
2.89714285714286,50.03398438875
2.90285714285714,50.0339295332211
2.90857142857143,50.0338784711238
2.91428571428571,50.0338312126451
2.92,50.033787767909
2.92571428571429,50.0337481469752
2.93142857142857,50.0337123598398
2.93714285714286,50.0336804164344
2.94285714285714,50.0336523266268
2.94857142857143,50.0336281002201
2.95428571428571,50.0336077469531
2.96,50.0335912764997
2.96571428571429,50.0335786984692
2.97142857142857,50.033570022406
2.97714285714286,50.0335652577895
2.98285714285714,50.0335644140336
2.98857142857143,50.0335675004873
2.99428571428571,50.033574526434
3,50.0335855010916
3.00571428571429,50.0336004336124
3.01142857142857,50.0336193330828
3.01714285714286,50.0336422085235
3.02285714285714,50.033669068889
3.02857142857143,50.033699923068
