"lumpcapacitance [pF]","lumpinductance [nH]","Freq [GHz]","ang_deg(S(1,1)) [deg]"
20,0,2,-111.514996976692
20,0,2.00571428571429,-114.972044127809
20,0,2.01142857142857,-118.440359283766
20,0,2.01714285714286,-121.919437827792
20,0,2.02285714285714,-125.408752308987
20,0,2.02857142857143,-128.907753070694
20,0,2.03428571428571,-132.415869053179
20,0,2.04,-135.932508773143
20,0,2.04571428571429,-139.457061480384
20,0,2.05142857142857,-142.988898490255
20,0,2.05714285714286,-146.527374688267
20,0,2.06285714285714,-150.071830201091
20,0,2.06857142857143,-153.621592226247
20,0,2.07428571428571,-157.175977010346
20,0,2.08,-160.734291964061
20,0,2.08571428571429,-164.295837899719
20,0,2.09142857142857,-167.859911375942
20,0,2.09714285714286,-171.425807131979
20,0,2.10285714285714,-174.992820593016
20,0,2.10857142857143,-178.560250426881
20,0,2.11428571428571,177.872598868599
20,0,2.12,174.306414368434
20,0,2.12571428571429,170.741872134902
20,0,2.13142857142857,167.179634664488
20,0,2.13714285714286,163.620348388
20,0,2.14285714285714,160.064641243741
20,0,2.14857142857143,156.51312034234
20,0,2.15428571428571,152.966369740869
20,0,2.16,149.424948341915
20,0,2.16571428571429,145.889387931925
20,0,2.17142857142857,142.360191370886
20,0,2.17714285714286,138.837830943583
20,0,2.18285714285714,135.32274688064
20,0,2.18857142857143,131.815346055172
20,0,2.19428571428571,128.316000859159
20,0,2.2,124.825048261224
20,0,2.20571428571429,121.342789045927
20,0,2.21142857142857,117.869487232527
20,0,2.21714285714286,114.405369669685
20,0,2.22285714285714,110.950625801079
20,0,2.22857142857143,107.50540759534
20,0,2.23428571428571,104.069829632933
20,0,2.24,100.643969341244
20,0,2.24571428571429,97.2278673688332
20,0,2.25142857142857,93.8215280888137
20,0,2.25714285714286,90.4249202212697
20,0,2.26285714285714,87.0379775643317
20,0,2.26857142857143,83.6605998233385
20,0,2.27428571428571,80.2926535279353
20,0,2.28,76.9339730268241
20,0,2.28571428571429,73.5843615506206
20,0,2.29142857142857,70.2435923333779
20,0,2.29714285714286,66.9114097840854
20,0,2.30285714285714,63.5875307000476
20,0,2.30857142857143,60.2716455144814
20,0,2.31428571428571,56.9634195716843
20,0,2.32,53.6624944234571
20,0,2.32571428571429,50.3684891415453
20,0,2.33142857142857,47.0810016412478
20,0,2.33714285714286,43.7996100122439
20,0,2.34285714285714,40.5238738533727
20,0,2.34857142857143,37.2533356085617
20,0,2.35428571428571,33.9875219020338
20,0,2.36,30.7259448711734
20,0,2.36571428571429,27.4681034963279
20,0,2.37142857142857,24.2134849270199
20,0,2.37714285714286,20.9615658047116
20,0,2.38285714285714,17.7118135826721
20,0,2.38857142857143,14.4636878436897
20,0,2.39428571428571,11.2166416169861
20,0,2.4,7.97012269562721
20,0,2.40571428571429,4.72357495629237
20,0,2.41142857142857,1.47643968311623
20,0,2.41714285714286,-1.77184310235912
20,0,2.42285714285714,-5.02183330302937
20,0,2.42857142857143,-8.27408939795053
20,0,2.43428571428571,-11.5291670817632
20,0,2.44,-14.7876178900784
20,0,2.44571428571429,-18.049987808903
20,0,2.45142857142857,-21.3168158666917
20,0,2.45714285714286,-24.5886327077101
20,0,2.46285714285714,-27.8659591457034
20,0,2.46857142857143,-31.1493046974727
20,0,2.47428571428571,-34.4391660960856
20,0,2.48,-37.7360257843347
20,0,2.48571428571429,-41.0403503892691
20,0,2.49142857142857,-44.3525891795798
20,0,2.49714285714286,-47.6731725081389
20,0,2.50285714285714,-51.0025102427245
20,0,2.50857142857143,-54.3409901889959
20,0,2.51428571428571,-57.6889765103138
20,0,2.52,-61.0468081502651
20,0,2.52571428571429,-64.4147972643362
20,0,2.53142857142857,-67.7932276684553
20,0,2.53714285714286,-71.1823533129105
20,0,2.54285714285714,-74.5823967911204
20,0,2.54857142857143,-77.9935478939051
20,0,2.55428571428571,-81.4159622205059
20,0,2.56,-84.849759858841
20,0,2.56571428571429,-88.2950241479249
20,0,2.57142857142857,-91.7518005363976
20,0,2.57714285714286,-95.2200955514835
20,0,2.58285714285714,-98.6998758931301
20,0,2.58857142857143,-102.191067668528
20,0,2.59428571428571,-105.693555781939
20,0,2.6,-109.20718349494
20,0,2.60571428571429,-112.731752171425
20,0,2.61142857142857,-116.267021221305
20,0,2.61714285714286,-119.812708255698
20,0,2.62285714285714,-123.36848946512
20,0,2.62857142857143,-126.934000230835
20,0,2.63428571428571,-130.508835977318
20,0,2.64,-134.092553272053
20,0,2.64571428571429,-137.684671176043
20,0,2.65142857142857,-141.28467284618
20,0,2.65714285714286,-144.892007387488
20,0,2.66285714285714,-148.506091950298
20,0,2.66857142857143,-152.126314064503
20,0,2.67428571428571,-155.75203419953
20,0,2.68,-159.382588535943
20,0,2.68571428571429,-163.017291931106
20,0,2.69142857142857,-166.655441058842
20,0,2.69714285714286,-170.296317700067
20,0,2.70285714285714,-173.939192159036
20,0,2.70857142857143,-177.583326778013
20,0,2.71428571428571,178.772020478835
20,0,2.72,175.127592402265
20,0,2.72571428571429,171.484128906601
20,0,2.73142857142857,167.842363421104
20,0,2.73714285714286,164.203019334931
20,0,2.74285714285714,160.566806525719
20,0,2.74857142857143,156.934418000348
20,0,2.75428571428571,153.306526675066
20,0,2.76,149.683782319608
20,0,2.76571428571429,146.066808687888
20,0,2.77142857142857,142.456200854709
20,0,2.77714285714286,138.852522775182
20,0,2.78285714285714,135.256305080383
20,0,2.78857142857143,131.668043119385
20,0,2.79428571428571,128.088195254897
20,0,2.8,124.517181416177
20,0,2.80571428571429,120.955381910267
20,0,2.81142857142857,117.403136489317
20,0,2.81714285714286,113.860743669359
20,0,2.82285714285714,110.328460293459
20,0,2.82857142857143,106.806501329824
20,0,2.83428571428571,103.295039893974
20,0,2.84,99.7942074821397
20,0,2.84571428571429,96.3040944022676
20,0,2.85142857142857,92.8247503877072
20,0,2.85714285714286,89.356185378301
20,0,2.86285714285714,85.8983704532229
20,0,2.86857142857143,82.4512388996353
20,0,2.87428571428571,79.0146874016979
20,0,2.88,75.5885773344475
20,0,2.88571428571429,72.1727361479502
20,0,2.89142857142857,68.766958827482
20,0,2.89714285714286,65.3710094164699
20,0,2.90285714285714,61.9846225898257
20,0,2.90857142857143,58.6075052660388
20,0,2.91428571428571,55.2393382477185
20,0,2.92,51.8797778809267
20,0,2.92571428571429,48.5284577250372
20,0,2.93142857142857,45.1849902255345
20,0,2.93714285714286,41.8489683833617
20,0,2.94285714285714,38.5199674153716
20,0,2.94857142857143,35.1975464011402
20,0,2.95428571428571,31.8812499125641
20,0,2.96,28.5706096230936
20,0,2.96571428571429,25.2651458945389
20,0,2.97142857142857,21.9643693397128
20,0,2.97714285714286,18.6677823599655
20,0,2.98285714285714,15.3748806571813
20,0,2.98857142857143,12.0851547200501
20,0,2.99428571428571,8.79809128512531
20,0,3,5.51317477312678
20,0,3.00571428571429,2.22988870154907
20,0,3.01142857142857,-1.05228292550011
20,0,3.01714285714286,-4.33385424899921
20,0,3.02285714285714,-7.6153362069552
20,0,3.02857142857143,-10.8972352054941
20,0,3.03428571428571,-14.1800518077458
20,0,3.04,-17.4642794396255
20,0,3.04571428571429,-20.7504031114253
20,0,3.05142857142857,-24.0388981546465
20,0,3.05714285714286,-27.3302289735471
20,0,3.06285714285714,-30.6248478111858
20,0,3.06857142857143,-33.9231935302543
20,0,3.07428571428571,-37.2256904090561
20,0,3.08,-40.5327469537334
20,0,3.08571428571429,-43.844754727914
20,0,3.09142857142857,-47.162087201738
20,0,3.09714285714286,-50.4850986224714
20,0,3.10285714285714,-53.8141229094259
20,0,3.10857142857143,-57.1494725765918
20,0,3.11428571428571,-60.4914376865728
20,0,3.12,-63.840284840273
20,0,3.12571428571429,-67.1962562069178
20,0,3.13142857142857,-70.5595685997783
20,0,3.13714285714286,-73.930412603206
20,0,3.14285714285714,-77.3089517570061
20,0,3.14857142857143,-80.6953218047248
20,0,3.15428571428571,-84.0896300124175
20,0,3.16,-87.4919545650621
20,0,3.16571428571429,-90.9023440475874
20,0,3.17142857142857,-94.3208170178745
20,0,3.17714285714286,-97.7473616788861
20,0,3.18285714285714,-101.181935656927
20,0,3.18857142857143,-104.624465893038
20,0,3.19428571428571,-108.074848653817
20,0,3.2,-111.532949667862
20,0,3.20571428571429,-114.998604393058
20,0,3.21142857142857,-118.471618419512
20,0,3.21714285714286,-121.951768011904
20,0,3.22285714285714,-125.438800793995
20,0,3.22857142857143,-128.932436577206
20,0,3.23428571428571,-132.432368333604
20,0,3.24,-135.938263312754
20,0,3.24571428571429,-139.449764300142
20,0,3.25142857142857,-142.966491013818
20,0,3.25714285714286,-146.488041634236
20,0,3.26285714285714,-150.01399446083
20,0,3.26857142857143,-153.543909687641
20,0,3.27428571428571,-157.077331288565
20,0,3.28,-160.613789001884
20,0,3.28571428571429,-164.152800402101
20,0,3.29142857142857,-167.693873046345
20,0,3.29714285714286,-171.236506681471
20,0,3.30285714285714,-174.78019549712
20,0,3.30857142857143,-178.324430409677
20,0,3.31428571428571,178.131298638753
20,0,3.32,174.58750038201
20,0,3.32571428571429,171.044679948255
20,0,3.33142857142857,167.503336610567
20,0,3.33714285714286,163.963961585039
20,0,3.34285714285714,160.427035891068
20,0,3.34857142857143,156.893028287475
20,0,3.35428571428571,153.362393297477
20,0,3.36,149.835569334012
20,0,3.36571428571429,146.312976936067
20,0,3.37142857142857,142.795017124918
20,0,3.37714285714286,139.282069888047
20,0,3.38285714285714,135.774492796956
20,0,3.38857142857143,132.272619763424
20,0,3.39428571428571,128.776759937613
20,0,3.4,125.287196749553
20,0,3.40571428571429,121.804187094524
20,0,3.41142857142857,118.327960661216
20,0,3.41714285714286,114.858719400436
20,0,3.42285714285714,111.396637131081
20,0,3.42857142857143,107.941859278804
20,0,3.43428571428571,104.494502742256
20,0,3.44,101.05465588066
20,0,3.44571428571429,97.6223786161728
20,0,3.45142857142857,94.1977026437225
20,0,3.45714285714286,90.7806317407532
20,0,3.46285714285714,87.3711421691531
20,0,3.46857142857143,83.9691831612297
20,0,3.47428571428571,80.5746774819543
20,0,3.48,77.1875220593757
20,0,3.48571428571429,73.8075886756591
20,0,3.49142857142857,70.434724711127
20,0,3.49714285714286,67.0687539341942
20,0,3.50285714285714,63.7094773304805
20,0,3.50857142857143,60.3566739646048
20,0,3.51428571428571,57.0101018689553
20,0,3.52,53.6694989538733
20,0,3.52571428571429,50.3345839345631
20,0,3.53142857142857,47.005057270256
20,0,3.53714285714286,43.6806021119117
20,0,3.54285714285714,40.3608852552589
20,0,3.54857142857143,37.0455580963408
20,0,3.55428571428571,33.7342575875627
20,0,3.56,30.426607192409
20,0,3.56571428571429,27.1222178378457
20,0,3.57142857142857,23.82068886359
20,0,3.57714285714286,20.5216089680955
20,0,3.58285714285714,17.2245571515235
20,0,3.58857142857143,13.929103656197
20,0,3.59428571428571,10.6348109057306
20,0,3.6,7.34123444403866
20,0,3.60571428571429,4.04792387610428
20,0,3.61142857142857,0.754423812386639
20,0,3.61714285714286,-2.53972518078212
20,0,3.62285714285714,-5.83498562222289
20,0,3.62857142857143,-9.13182214574739
20,0,3.63428571428571,-12.4307005156986
20,0,3.64,-15.7320866252954
20,0,3.64571428571429,-19.0364454744149
20,0,3.65142857142857,-22.3442401236845
20,0,3.65714285714286,-25.6559306215289
20,0,3.66285714285714,-28.9719729008148
20,0,3.66857142857143,-32.2928176420046
20,0,3.67428571428571,-35.6189090995034
20,0,3.68,-38.9506838884039
20,0,3.68571428571429,-42.2885697286959
20,0,3.69142857142857,-45.6329841445921
20,0,3.69714285714286,-48.984333116783
20,0,3.70285714285714,-52.3430096858263
20,0,3.70857142857143,-55.7093925055957
20,0,3.71428571428571,-59.0838443459379
20,0,3.72,-62.4667105447155
20,0,3.72571428571429,-65.8583174097949
20,0,3.73142857142857,-69.2589705726842
20,0,3.73714285714286,-72.6689532962499
20,0,3.74285714285714,-76.0885247399418
20,0,3.74857142857143,-79.5179181872808
20,0,3.75428571428571,-82.9573392411852
20,0,3.76,-86.4069639943705
20,0,3.76571428571429,-89.8669371829904
20,0,3.77142857142857,-93.3373703334139
20,0,3.77714285714286,-96.8183399132342
