"Freq [GHz]","dB(S(1,1)) []","dB(S(1,2)) []"
2,-14.7607213653118,-0.425174209965132
2.00571428571429,-14.9344541275476,-0.41927380620236
2.01142857142857,-15.1161934254445,-0.413461306693087
2.01714285714286,-15.3063935388642,-0.407729391269142
2.02285714285714,-15.5055469841868,-0.402072782775808
2.02857142857143,-15.7141881448364,-0.3964881786354
2.03428571428571,-15.9328973404921,-0.390974168015498
2.04,-16.162305419242,-0.385531135506397
2.04571428571429,-16.40309897673,-0.38016115240145
2.05142857142857,-16.6560263311255,-0.374867856831666
2.05714285714286,-16.9219044137424,-0.369656324129697
2.06285714285714,-17.2016267740302,-0.364532928883786
2.06857142857143,-17.4961729465555,-0.359505200192312
2.07428571428571,-17.8066194890805,-0.354581671645775
2.08,-18.1341530783565,-0.349771727548104
2.08571428571429,-18.480086147847,-0.345085446850064
2.09142857142857,-18.8458756744534,-0.340533446204495
2.09714285714286,-19.2331458752719,-0.336126723474476
2.10285714285714,-19.6437157668653,-0.331876502932669
2.10857142857143,-20.0796327739737,-0.327794083288806
2.11428571428571,-20.5432138533165,-0.323890689576712
2.12,-21.0370959111483,-0.32017732982545
2.12571428571429,-21.5642976021969,-0.316664657337142
2.13142857142857,-22.1282948000973,-0.313362839297776
2.13714285714286,-22.7331118781767,-0.310281432362915
2.14285714285714,-23.3834298651486,-0.307429265787325
2.14857142857143,-24.084709251343,-0.304814332609739
2.15428571428571,-24.8433167883431,-0.302443689360353
2.16,-25.6666253497587,-0.300323364727956
2.16571428571429,-26.5630082905926,-0.298458277604917
2.17142857142857,-27.5415384338448,-0.296852164915477
2.17714285714286,-28.6109417357689,-0.295507519624209
2.18285714285714,-29.7767536829387,-0.294425539309193
2.18857142857143,-31.0342964851014,-0.293606085664867
2.19428571428571,-32.3526087645574,-0.293047655267033
2.2,-33.642444643603,-0.292747361882077
2.20571428571429,-34.7132638840504,-0.292700930533127
2.21142857142857,-35.2831868302333,-0.292902703443432
2.21714285714286,-35.1531469115761,-0.293345657864906
2.22285714285714,-34.4099698610452,-0.294021435666912
2.22857142857143,-33.3307826388338,-0.294920384412573
2.23428571428571,-32.1542991643278,-0.296031609490508
2.24,-31.008584617747,-0.29734303670634
2.24571428571429,-29.9445163962852,-0.298841484576449
2.25142857142857,-28.9751386063112,-0.300512745414471
2.25714285714286,-28.0978566154758,-0.302341674168199
2.26285714285714,-27.3045951898218,-0.304312283860188
2.26857142857143,-26.5860421347339,-0.306407846423169
2.27428571428571,-25.9332887533268,-0.308610997718557
2.28,-25.3383745678883,-0.310903845607838
2.28571428571429,-24.7943873019722,-0.313268080148758
2.29142857142857,-24.2953943162106,-0.315685085368414
2.29714285714286,-23.8363209925083,-0.31813605270751
2.30285714285714,-23.4128227998335,-0.320602097266347
2.30857142857143,-23.0211683996403,-0.323064379611
2.31428571428571,-22.6581387696737,-0.325504238413724
2.32,-22.3209423246333,-0.32790334304209
2.32571428571429,-22.0071442082793,-0.330243880995273
2.33142857142857,-21.7146074851708,-0.332508803661988
2.33714285714286,-21.4414440601257,-0.334682166298106
2.34285714285714,-21.1859734447335,-0.336749615506227
2.34857142857143,-20.9466878223717,-0.338699100481941
2.35428571428571,-20.722222177287,-0.340521911720915
2.36,-20.5113285305839,-0.342214176967004
2.36571428571429,-20.3128535648069,-0.34377895307941
2.37142857142857,-20.1257191235453,-0.345229009629799
2.37714285714286,-19.9489052486111,-0.346590242182959
2.38285714285714,-19.7814355675796,-0.347905288055628
2.38857142857143,-19.6223649653623,-0.349236261657953
2.39428571428571,-19.4707695514944,-0.350664632411476
2.4,-19.3257389469327,-0.352285560362142
2.40571428571429,-19.1863708436709,-0.354194469928616
2.41142857142857,-19.0517676646398,-0.356466457888742
2.41714285714286,-18.9210350748013,-0.359134203810143
2.42285714285714,-18.7932822000504,-0.362174337159573
2.42857142857143,-18.6676236963492,-0.365510869861428
2.43428571428571,-18.5431840353411,-0.369035966556056
2.44,-18.4191042487256,-0.372638730626819
2.44571428571429,-18.2945509138389,-0.376229650645104
2.45142857142857,-18.1687266861156,-0.379753294894885
2.45714285714286,-18.0408814658821,-0.383189272844751
2.46285714285714,-17.9103233344654,-0.386545926593579
2.46857142857143,-17.7764285575334,-0.389851611621281
2.47428571428571,-17.6386501144239,-0.393146700103704
2.48,-17.4965243431182,-0.396477564728032
2.48571428571429,-17.3496754101307,-0.39989261388719
2.49142857142857,-17.1978174415391,-0.403439949161661
2.49714285714286,-17.0407542885255,-0.407166129695291
2.50285714285714,-16.8783770386199,-0.411115615853557
2.50857142857143,-16.7106595083949,-0.415330591164539
2.51428571428571,-16.5376520522389,-0.419850971237383
2.52,-16.3594740868963,-0.424714487378509
2.52571428571429,-16.176305759966,-0.429956784041217
2.53142857142857,-15.9883791844185,-0.435611500453583
2.53714285714286,-15.7959696261297,-0.441710324659749
2.54285714285714,-15.5993869752104,-0.448283017882623
2.54857142857143,-15.3989677630668,-0.455357411960776
2.55428571428571,-15.1950679137514,-0.462959384738657
2.56,-14.9880563469009,-0.471112818953357
2.56571428571429,-14.7783094854405,-0.479839550084093
2.57142857142857,-14.5662066672835,-0.489159308209249
2.57714285714286,-14.3521264179493,-0.499089658363004
2.58285714285714,-14.1364435103887,-0.509645943304062
2.58857142857143,-13.9195267184458,-0.520841232051864
2.59428571428571,-13.7017371598657,-0.53268627702692
2.6,-13.4834271217482,-0.545189482157824
2.60571428571429,-13.2649392641885,-0.558356883880124
2.61142857142857,-13.0466061047911,-0.5721921465518
2.61714285714286,-12.8287496964946,-0.58669657343594
2.62285714285714,-12.6116814224976,-0.601869134052822
2.62857142857143,-12.395701844166,-0.617706508378233
2.63428571428571,-12.1811005500337,-0.634203148057972
2.64,-11.9681559658451,-0.651351354525658
2.64571428571429,-11.7571350968433,-0.669141373646435
2.65142857142857,-11.5482931838917,-0.687561506271416
2.65714285714286,-11.3418732645026,-0.706598233872964
