"Freq [GHz]","re(Zo(1:1)) []","re(Zo(2:1)) []"
2,49.9098455116868,49.7055007577175
2.00571428571429,49.9093564962586,49.705012881963
2.01142857142857,49.9088690374081,49.7045265659112
2.01714285714286,49.9083831519769,49.7040418263926
2.02285714285714,49.9078988567951,49.703558680226
2.02857142857143,49.9074161686807,49.7030771442183
2.03428571428571,49.9069351044389,49.7025972351641
2.04,49.9064556808622,49.7021189698447
2.04571428571429,49.905977914729,49.7016423650281
2.05142857142857,49.9055018228038,49.7011674374683
2.05714285714286,49.9050274218365,49.7006942039045
2.06285714285714,49.9045547285618,49.7002226810613
2.06857142857143,49.9040837596986,49.6997528856475
2.07428571428571,49.90361453195,49.699284834356
2.08,49.9031470620022,49.6988185438632
2.08571428571429,49.9026813665243,49.6983540308285
2.09142857142857,49.902217462168,49.6978913118937
2.09714285714286,49.9017553655668,49.6974304036829
2.10285714285714,49.9012950933355,49.6969713228015
2.10857142857143,49.90083666207,49.696514085836
2.11428571428571,49.9003800883467,49.6960587093538
2.12,49.8999253887219,49.695605209902
2.12571428571429,49.8994725797315,49.6951536040075
2.13142857142857,49.8990216778904,49.6947039081766
2.13714285714286,49.8985726996921,49.694256138894
2.14285714285714,49.8981256616082,49.6938103126227
2.14857142857143,49.8976805800882,49.6933664458037
2.15428571428571,49.8972374715584,49.692924554855
2.16,49.8967963524222,49.6924846561718
2.16571428571429,49.896357239059,49.6920467661255
2.17142857142857,49.8959201478243,49.6916109010633
2.17714285714286,49.8954850950489,49.6911770773084
2.18285714285714,49.8950520970383,49.6907453111585
2.18857142857143,49.8946211700729,49.6903156188863
2.19428571428571,49.894192330407,49.6898880167385
2.2,49.8937655942682,49.6894625209355
2.20571428571429,49.8933409778578,49.689039147671
2.21142857142857,49.8929184973494,49.6886179131118
2.21714285714286,49.8924981688892,49.6881988333967
2.22285714285714,49.8920800085951,49.6877819246367
2.22857142857143,49.8916640325564,49.6873672029144
2.23428571428571,49.8912502568337,49.6869546842835
2.24,49.8908386974578,49.6865443847683
2.24571428571429,49.8904293704299,49.6861363203635
2.25142857142857,49.8900222917211,49.6857305070335
2.25714285714286,49.8896174772714,49.6853269607125
2.26285714285714,49.8892149429901,49.6849256973032
2.26857142857143,49.8888147047549,49.6845267326775
2.27428571428571,49.8884167784114,49.6841300826749
2.28,49.8880211797733,49.6837357631033
2.28571428571429,49.8876279246212,49.6833437897375
2.29142857142857,49.8872370287027,49.6829541783196
2.29714285714286,49.8868485077319,49.6825669445581
2.30285714285714,49.8864623773891,49.6821821041278
2.30857142857143,49.8860786533201,49.6817996726692
2.31428571428571,49.885697351136,49.6814196657884
2.32,49.8853184864129,49.6810420990562
2.32571428571429,49.8849420746913,49.6806669880082
2.33142857142857,49.884568131476,49.6802943481443
2.33714285714286,49.8841966722353,49.6799241949281
2.34285714285714,49.8838277124011,49.6795565437867
2.34857142857143,49.8834612673681,49.6791914101103
2.35428571428571,49.8830973524937,49.6788288092518
2.36,49.8827359830974,49.6784687565264
2.36571428571429,49.8823771744606,49.6781112672113
2.37142857142857,49.8820209418264,49.6777563565452
2.37714285714286,49.8816673003986,49.6774040397282
2.38285714285714,49.881316265342,49.6770543319211
2.38857142857143,49.8809678517819,49.6767072482451
2.39428571428571,49.8806220748034,49.6763628037817
2.4,49.8802789494512,49.6760210135721
2.40571428571429,49.8799384907296,49.6756818926169
2.41142857142857,49.8796007136015,49.6753454558757
2.41714285714286,49.8792656329888,49.6750117182669
2.42285714285714,49.8789332637712,49.6746806946672
2.42857142857143,49.8786036207867,49.6743523999112
2.43428571428571,49.8782767188305,49.6740268487914
2.44,49.8779525726554,49.6737040560573
2.44571428571429,49.8776311969707,49.6733840364156
2.45142857142857,49.8773126064424,49.6730668045296
2.45714285714286,49.8769968156928,49.6727523750187
2.46285714285714,49.8766838392998,49.6724407624586
2.46857142857143,49.876373691797,49.6721319813802
2.47428571428571,49.8760663876732,49.6718260462701
2.48,49.8757619413721,49.6715229715697
2.48571428571429,49.8754603672918,49.671222771675
2.49142857142857,49.8751616797848,49.6709254609363
2.49714285714286,49.8748658931574,49.6706310536581
2.50285714285714,49.8745730216695,49.6703395640983
2.50857142857143,49.8742830795342,49.6700510064684
2.51428571428571,49.8739960809178,49.6697653949329
2.52,49.8737120399391,49.669482743609
2.52571428571429,49.873430970669,49.6692030665662
2.53142857142857,49.8731528871309,49.6689263778264
2.53714285714286,49.8728778032996,49.6686526913632
2.54285714285714,49.8726057331015,49.6683820211017
2.54857142857143,49.8723366904139,49.6681143809181
2.55428571428571,49.8720706890652,49.6678497846398
2.56,49.8718077428341,49.6675882460446
2.56571428571429,49.8715478654498,49.6673297788607
2.57142857142857,49.8712910705911,49.6670743967664
2.57714285714286,49.8710373718869,49.6668221133897
2.58285714285714,49.870786782915,49.6665729423081
2.58857142857143,49.8705393172027,49.6663268970481
2.59428571428571,49.870294988226,49.6660839910855
2.6,49.8700538094092,49.6658442378444
2.60571428571429,49.8698157941252,49.6656076506974
2.61142857142857,49.8695809556946,49.6653742429651
2.61714285714286,49.869349307386,49.6651440279157
2.62285714285714,49.8691208624151,49.6649170187648
2.62857142857143,49.868895633945,49.6646932286754
2.63428571428571,49.8686736350857,49.6644726707576
2.64,49.8684548788938,49.6642553580689
2.64571428571429,49.8682393783723,49.6640413036126
2.65142857142857,49.8680271464703,49.6638305203385
2.65714285714286,49.8678181960827,49.6636230211421
2.66285714285714,49.8676125400502,49.6634188188645
2.66857142857143,49.8674101911587,49.6632179262924
2.67428571428571,49.8672111621393,49.6630203561577
