"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(1,2)) []","dB(S(2,2)) []"
2,-20.2304779053286,-0.483401101097315,-0.483401101097145,-19.4178621028504
2.00571428571429,-19.9137834091484,-0.48771341068871,-0.487713410695776,-19.2127538688618
2.01142857142857,-19.6054644267185,-0.492211677132316,-0.492211677143696,-19.0099880179583
2.01714285714286,-19.3044810034078,-0.496900888996123,-0.496900889009536,-18.8100122581727
2.02285714285714,-19.0100487270984,-0.501783517930539,-0.501783517944263,-18.6131755523766
2.02857142857143,-18.7216042910282,-0.506859836747729,-0.506859836760554,-18.4197388875171
2.03428571428571,-18.4387713700186,-0.512128273737567,-0.512128273748661,-18.2298863659967
2.04,-18.1613273917941,-0.517585774926037,-0.51758577493495,-18.0437361207537
2.04571428571429,-17.8891719065662,-0.523228150401898,-0.523228150408422,-17.861350699202
2.05142857142857,-17.6222972358036,-0.529050386074923,-0.529050386079077,-17.6827466810122
2.05714285714286,-17.3607619627005,-0.535046907768708,-0.535046907770674,-17.5079033906188
2.06285714285714,-17.1046676567068,-0.541211789971759,-0.541211789971818,-17.3367706391586
2.06857142857143,-16.8541390395989,-0.547538906558156,-0.547538906556684,-17.1692754851837
2.07428571428571,-16.6093076279481,-0.554022025121636,-0.554022025119009,-17.0053280422393
2.08,-16.3702987428512,-0.560654850110992,-0.560654850107636,-16.8448263873937
2.08571428571429,-16.1372216697239,-0.567431022642011,-0.567431022638313,-16.6876606409864
2.09142857142857,-15.9101626788022,-0.5743440866798,-0.574344086676087,-16.53371629662
2.09714285714286,-15.6891805763208,-0.581387432263918,-0.581387432260523,-16.3828768838483
2.10285714285714,-15.4743044402417,-0.588554226647109,-0.588554226644275,-16.2350260456589
2.10857142857143,-15.2655331955263,-0.595837343720084,-0.595837343718012,-16.0900491099712
2.11428571428571,-15.0628366957233,-0.603229301003086,-0.603229301001887,-15.9478342299013
2.12,-14.86615799484,-0.610722211918713,-0.610722211918469,-15.8082731621116
2.12571428571429,-14.6754165127445,-0.618307759148763,-0.618307759149491,-15.6712617466745
2.13142857142857,-14.4905118168887,-0.625977192762107,-0.625977192763758,-15.5367001457997
2.13714285714286,-14.3113277626943,-0.633721354621965,-0.633721354624466,-15.404492892738
2.14285714285714,-14.137736755154,-0.641530728482247,-0.641530728485506,-15.2745487962674
2.14857142857143,-13.969603916303,-0.649395513294861,-0.649395513298741,-15.1467807404689
2.15428571428571,-13.8067909685833,-0.657305715686763,-0.657305715691101,-15.021105414045
2.16,-13.6491596736905,-0.665251256417431,-0.665251256422078,-14.8974429982328
2.16571428571429,-13.4965747007089,-0.673222084948526,-0.673222084953321,-14.7757168374453
2.17142857142857,-13.3489058356841,-0.681208296068617,-0.681208296073411,-14.6558531121413
2.17714285714286,-13.2060294860292,-0.689200242795939,-0.689200242800597,-14.5377805291216
2.18285714285714,-13.0678294752564,-0.697188640474739,-0.697188640479143,-14.4214300404943
2.18857142857143,-12.9341971639794,-0.705164657998574,-0.705164658002629,-14.3067345989721
2.19428571428571,-12.8050309693434,-0.71311999332462,-0.713119993328241,-14.1936289540244
2.2,-12.6802353845221,-0.721046931767574,-0.721046931770715,-14.0820494906859
2.20571428571429,-12.5597196208573,-0.728938386856667,-0.728938386859293,-13.9719341105989
2.21142857142857,-12.4433960064273,-0.736787924699125,-0.736787924701242,-13.8632221530797
2.21714285714286,-12.3311782761566,-0.744589773730234,-0.744589773731846,-13.755854352707
2.22285714285714,-12.2229798806575,-0.752338822387851,-0.752338822388985,-13.6497728290534
2.22857142857143,-12.1187124252579,-0.760030607604183,-0.760030607604897,-13.5449211037102
2.23428571428571,-12.0182843291321,-0.767661297062943,-0.767661297063285,-13.4412441396399
2.24,-11.9215997693229,-0.775227667963687,-0.77522766796372,-13.3386883980501
2.24571428571429,-11.828557948106,-0.782727084617536,-0.782727084617336,-13.2372019083783
2.25142857142857,-11.7390526966337,-0.790157476640115,-0.790157476639753,-13.1367343475231
2.25714285714286,-11.6529724049127,-0.797517318877672,-0.797517318877199,-13.0372371251031
2.26285714285714,-11.5702002491598,-0.804805613570731,-0.804805613570231,-12.9386634722145
2.26857142857143,-11.49061467322,-0.812021874686183,-0.812021874685675,-12.8409685318264
2.27428571428571,-11.4140900713226,-0.819166113876055,-0.819166113875612,-12.744109449592
2.28,-11.3404976148372,-0.82623882718398,-0.826238827183628,-12.6480454643917
2.28571428571429,-11.2697061654281,-0.833240981426169,-0.833240981425927,-12.5527379983868
2.29142857142857,-11.201583220368,-0.840173999127469,-0.840173999127358,-12.4581507466876
2.29714285714286,-11.1359958419573,-0.847039740975927,-0.847039740975954,-12.3642497669651
2.30285714285714,-11.0728115310942,-0.853840484951471,-0.85384048495164,-12.271003569438
2.30857142857143,-11.0118990142307,-0.860578901556226,-0.860578901556511,-12.1783832076411
2.31428571428571,-10.9531289224577,-0.867258024892769,-0.867258024893165,-12.0863623702763
2.32,-10.8963743506303,-0.873881219673594,-0.873881219674079,-11.994917474219
2.32571428571429,-10.8415112928055,-0.880452144567872,-0.880452144568402,-11.9040277584708
2.33142857142857,-10.7884189574141,-0.886974712579576,-0.886974712580143,-11.813675378487
2.33714285714286,-10.7369799713558,-0.89345304938175,-0.893453049382324,-11.7238454999092
2.34285714285714,-10.6870804864736,-0.899891450693706,-0.899891450694258,-11.6345263903179
2.34857142857143,-10.6386102046506,-0.906294339874655,-0.906294339875171,-11.5457095071929
2.35428571428571,-10.5914623391987,-0.912666226915942,-0.912666226916405,-11.4573895798877
2.36,-10.5455335304034,-0.919011669951068,-0.919011669951455,-11.3695646830728
2.36571428571429,-10.5007237322874,-0.925335240275249,-0.925335240275547,-11.2822362988489
2.37142857142857,-10.4569360860467,-0.931641491688223,-0.931641491688434,-11.1954093645543
2.37714285714286,-10.4140767934339,-0.937934934759476,-0.937934934759601,-11.1090923032485
