"Freq [GHz]","im(Z(1,1)) [] - stripwidth='4.7mm'","im(Z(2,1)) [] - stripwidth='4.7mm'"
2,19.1190446058092,-55.3838069518823
2.00571428571429,22.7258942851686,-56.7387565963535
2.01142857142857,26.5266969414565,-58.3729857450039
2.01714285714286,30.5668440753081,-60.3233737683228
2.02285714285714,34.9012729215914,-62.6372286526667
2.02857142857143,39.5977647560836,-65.3754532450684
2.03428571428571,44.741571795665,-68.6170584355288
2.04,50.4420685042107,-72.4657150396374
2.04571428571429,56.8425664680802,-77.0594797413284
2.05142857142857,64.135221449641,-82.5856196454537
2.05714285714286,72.5844242613587,-89.3039219948821
2.06285714285714,82.564906814981,-97.5847128643838
2.06857142857143,94.6266123082475,-107.973620834036
2.07428571428571,109.611082148823,-121.307813092777
2.08,128.874059767989,-138.938349838366
2.08571428571429,154.746529971053,-163.190745248973
2.09142857142857,191.591862788734,-198.421050443874
2.09714285714286,248.576780247387,-253.784062067087
2.10285714285714,348.353684971649,-351.906929628438
2.10857142857143,560.147785565203,-561.941718625272
2.11428571428571,892.676321727409,-892.543183041736
2.12,-887.57796589997,887.546147406119
2.12571428571429,-495.450577511619,497.29527915336
2.13142857142857,-320.16470624692,323.718939396456
2.13714285714286,-233.417343623443,238.609019308373
2.14285714285714,-182.219976341456,189.026562194958
2.14857142857143,-148.403340425052,156.821641208097
2.15428571428571,-124.303831593968,134.34066564211
2.16,-106.165135524891,117.833902925817
2.16571428571429,-91.9373851618462,105.256646859031
2.17142857142857,-80.4089944150013,95.4018685645505
2.17714285714286,-70.8183700050762,87.5123138354131
2.18285714285714,-62.6627352937317,81.0895363832835
2.18857142857143,-55.5966080846174,75.792507267408
2.19428571428571,-49.3744938585927,71.3804042733444
2.2,-43.8168664730498,67.6786734443895
2.20571428571429,-38.7890996485007,64.5580367925567
2.21142857142857,-34.1879377041564,61.9210410974319
2.21714285714286,-29.9325292837991,59.6931760657245
2.22285714285714,-25.9583163571204,57.8168579086903
2.22857142857143,-22.2127618016912,56.2472652982433
2.23428571428571,-18.6522901629827,54.9494062621327
2.24,-15.2400453504177,53.8960243911543
2.24571428571429,-11.9442072050557,53.0660919047425
2.25142857142857,-8.73669427114616,52.4437239107855
2.25714285714286,-5.59213391578129,52.0174039008111
2.26285714285714,-2.48701526085186,51.7794473966407
2.26857142857143,0.601037732445079,51.7256559953384
2.27428571428571,3.69392210260105,51.855132344534
2.28,6.81368201972158,52.1702407432876
2.28571428571429,9.98314344405377,52.6767101611604
2.29142857142857,13.2265964623143,53.3838881401933
2.29714285714286,16.5705695719086,54.3051668469369
2.30285714285714,20.0447503520372,55.4586182548024
2.30857142857143,23.6831239323449,56.8678964368732
2.31428571428571,27.5254275407736,58.5634947511907
2.32,31.6190614513967,60.5844898513734
2.32571428571429,36.0216628279205,62.9809720982432
2.33142857142857,40.8046547817257,65.8174686859476
2.33714285714286,46.0582559335999,69.1778391323678
2.34285714285714,51.8987261172961,73.1724128420802
2.34857142857143,58.4791265944307,77.9486399419547
2.35428571428571,66.0057752241675,83.7074258305772
