"Freq [GHz]","re(S(1,1)) []","re(S(2,1)) []","re(S(1,2)) []","re(S(2,2)) []"
2,0.451029717794049,0.452913355961594,0.452913355961594,0.44815314914377
2.00571428571429,0.449827695727091,0.453132956751527,0.453132956751526,0.44701608833837
2.01142857142857,0.448577796786441,0.453318394190484,0.453318394190483,0.445834944554487
2.01714285714286,0.447283430777776,0.453468581258402,0.4534685812584,0.444613004259544
2.02285714285714,0.445948070232282,0.453582470929215,0.453582470929212,0.443353607138965
2.02857142857143,0.444575249869312,0.453659070830729,0.453659070830726,0.44206014593498
2.03428571428571,0.443168565700445,0.453697457547616,0.453697457547613,0.440736065955607
2.04,0.441731673701778,0.453696790440064,0.453696790440061,0.439384864180127
2.04571428571429,0.440268287980214,0.453656324849582,0.453656324849579,0.438010087884979
2.05142857142857,0.438782178359023,0.453575424564722,0.453575424564719,0.436615332714425
2.05714285714286,0.437277167310028,0.453453573422302,0.453453573422299,0.435204240121594
2.06285714285714,0.435757126163335,0.453290385925007,0.453290385925002,0.43378049410948
2.06857142857143,0.434225970530931,0.453085616762979,0.453085616762975,0.432347817206142
2.07428571428571,0.432687654888269,0.452839169136762,0.452839169136758,0.430909965616749
2.08,0.431146166267083,0.452551101789599,0.452551101789594,0.429470723503289
2.08571428571429,0.429605517024152,0.452221634670782,0.452221634670778,0.428033896354897
2.09142857142857,0.428069736663573,0.451851153166304,0.451851153166301,0.426603303423825
2.09714285714286,0.426542862704396,0.451440210849587,0.451440210849583,0.425182769216658
2.10285714285714,0.425028930601159,0.450989530722669,0.450989530722665,0.42377611404582
2.10857142857143,0.423531962741007,0.450500004936688,0.450500004936684,0.422387143662533
2.11428571428571,0.422055956558298,0.449972692999514,0.449972692999511,0.421019638009375
2.12,0.420604871824079,0.449408818497435,0.449408818497432,0.419677339147399
2.12571428571429,0.419182617185093,0.448809764376785,0.448809764376782,0.418363938429595
2.13142857142857,0.417793036042405,0.448177066849328,0.448177066849326,0.417083063008279
2.13714285714286,0.416439891875035,0.447512408002449,0.447512408002447,0.415838261779055
2.14285714285714,0.415126853127198,0.446817607210752,0.446817607210751,0.41463299087756
2.14857142857143,0.413857477789409,0.446094611459447,0.446094611459446,0.413470598856636
2.15428571428571,0.412635197813393,0.445345484701834,0.445345484701833,0.412354311681671
2.16,0.411463303507826,0.444572396382601,0.444572396382602,0.411287217688745
2.16571428571429,0.410344928066756,0.443777609265862,0.443777609265863,0.410272252655668
2.17142857142857,0.40928303238486,0.442963466711414,0.442963466711416,0.409312185137928
2.17714285714286,0.408280390313047,0.442132379544668,0.44213237954467,0.408409602221517
2.18285714285714,0.407339574505262,0.441286812665521,0.441286812665524,0.407566895841978
2.18857142857143,0.40646294300154,0.440429271538311,0.440429271538314,0.406786249813524
2.19428571428571,0.405652626685035,0.439562288700176,0.43956228870018,0.406069627704695
2.2,0.404910517740572,0.438688410418018,0.438688410418023,0.405418761687474
2.20571428571429,0.404238259230849,0.437810183615378,0.437810183615384,0.40483514247519
2.21142857142857,0.403637235893228,0.436930143180357,0.436930143180363,0.404320010451699
2.21714285714286,0.403108566245477,0.436050799754006,0.436050799754013,0.403874348079969
2.22285714285714,0.402653096073854,0.435174628086573,0.43517462808658,0.40349887366331
2.22857142857143,0.402271393360578,0.434304056035555,0.434304056035565,0.403194036516445
2.23428571428571,0.401963744692166,0.433441454266789,0.433441454266799,0.402960013587898
2.24,0.40173015317347,0.432589126706203,0.432589126706214,0.402796707559146
2.24571428571429,0.401570337856923,0.431749301777115,0.431749301777126,0.402703746430156
2.25142857142857,0.401483734680884,0.430924124445312,0.430924124445324,0.40268048458608
2.25714285714286,0.401469498897121,0.430115649082661,0.430115649082673,0.402726005325379
2.26285714285714,0.401526508953282,0.429325833148676,0.429325833148689,0.402839124816243
2.26857142857143,0.401653371784572,0.428556531679904,0.428556531679918,0.403018397436079
2.27428571428571,0.401848429457322,0.427809492567837,0.427809492567851,0.403262122437401
2.28,0.402109767097378,0.427086352598496,0.42708635259851,0.403568351874148
2.28571428571429,0.402435222027842,0.426388634220152,0.426388634220167,0.403934899713484
2.29142857142857,0.40282239403354,0.42571774300032,0.425717743000335,0.404359352051325
2.29714285714286,0.403268656663664,0.425074965728806,0.425074965728822,0.404839078343938
2.30285714285714,0.403771169479634,0.424461469120508,0.424461469120524,0.40537124356328
2.30857142857143,0.40432689115188,0.423878299069477,0.423878299069492,0.405952821180767
2.31428571428571,0.40493259330712,0.423326380404601,0.423326380404618,0.406580606881568
2.32,0.405584875026669,0.422806517096997,0.422806517097013,0.407251232910916
2.32571428571429,0.406280177896346,0.422319392869743,0.422319392869759,0.407961182953462
2.33142857142857,0.4070148015091,0.421865572161723,0.42186557216174,0.408706807447879
2.33714285714286,0.407784919323694,0.421445501399281,0.421445501399296,0.409484339240116
2.34285714285714,0.408586594784466,0.421059510531704,0.421059510531719,0.41028990948153
2.34857142857143,0.409415797610752,0.420707814789293,0.420707814789308,0.411119563680602
2.35428571428571,0.410268420167143,0.4203905166257,0.420390516625715,0.41196927782074
2.36,0.411140293826561,0.420107607807972,0.420107607807986,0.412834974460437
2.36571428571429,0.412027205249162,0.419858971625216,0.419858971625232,0.413712538736436
2.37142857142857,0.412924912524927,0.419644385199163,0.419644385199178,0.414597834195071
2.37714285714286,0.41382916107162,0.419463521854025,0.419463521854039,0.415486718381844
2.38285714285714,0.414735699223405,0.419315953528085,0.419315953528098,0.416375058124377
2.38857142857143,0.41564029348026,0.419201153225409,0.419201153225422,0.417258744449006
