"Freq [GHz]","im(Zo(1)) []"
2,-0.00140071872000435
2.00571428571429,-0.00137063306457429
2.01142857142857,-0.00134068263292189
2.01714285714286,-0.00131086661052592
2.02285714285714,-0.00128118419055439
2.02857142857143,-0.00125163457377581
2.03428571428571,-0.00122221696847199
2.04,-0.00119293059035109
2.04571428571429,-0.00116377466246227
2.05142857142857,-0.00113474841511067
2.05714285714286,-0.00110585108577341
2.06285714285714,-0.00107708191901691
2.06857142857143,-0.00104844016641429
2.07428571428571,-0.00101992508646462
2.08,-0.000991535944512
2.08571428571429,-0.000963272012666508
2.09142857142857,-0.000935132569725305
2.09714285714286,-0.000907116901094714
2.10285714285714,-0.000879224298713607
2.10857142857143,-0.000851454060976833
2.11428571428571,-0.000823805492660471
2.12,-0.000796277904846813
2.12571428571429,-0.000768870614851194
2.13142857142857,-0.000741582946149008
2.13714285714286,-0.000714414228303536
2.14285714285714,-0.000687363796895096
2.14857142857143,-0.000660430993450297
2.15428571428571,-0.000633615165372731
2.16,-0.000606915665873816
2.16571428571429,-0.000580331853905096
2.17142857142857,-0.000553863094090795
2.17714285714286,-0.000527508756661136
2.18285714285714,-0.000501268217386916
2.18857142857143,-0.000475140857514182
2.19428571428571,-0.000449126063700252
2.2,-0.000423223227949882
2.20571428571429,-0.000397431747552746
2.21142857142857,-0.000371751025021207
2.21714285714286,-0.000346180468028885
2.22285714285714,-0.000320719489350263
2.22857142857143,-0.000295367506800387
2.23428571428571,-0.000270123943175934
2.24,-0.000244988226196406
2.24571428571429,-0.000219959788446397
2.25142857142857,-0.000195038067318386
2.25714285714286,-0.000170222504955957
2.26285714285714,-0.000145512548198311
2.26857142857143,-0.000120907648524658
2.27428571428571,-9.6407261999961e-05
2.28,-7.20108492206964e-05
2.28571428571429,-4.77178752618496e-05
2.29142857142857,-2.35278096240957e-05
2.29714285714286,5.59873818356404e-07
2.30285714285714,2.45456968688906e-05
2.30857142857143,4.84301770597071e-05
2.31428571428571,7.22138277015754e-05
2.32,9.58971579339364e-05
2.32571428571429,0.000119480672773591
2.33142857142857,0.000142964873163203
2.33714285714286,0.000166350256019399
2.34285714285714,0.000189637314279736
2.34857142857143,0.000212826536949757
2.35428571428571,0.000235918409148851
2.36,0.000258913412156195
2.36571428571429,0.000281812023455554
2.37142857142857,0.000304614716779934
2.37714285714286,0.000327321962155706
2.38285714285714,0.00034993422594578
2.38857142857143,0.000372451970892924
2.39428571428571,0.000394875656161779
2.4,0.00041720573738121
2.40571428571429,0.00043944266668537
2.41142857142857,0.000461586892754724
2.41714285714286,0.000483638860856659
2.42285714285714,0.000505599012885041
2.42857142857143,0.000527467787400061
2.43428571428571,0.000549245619666839
2.44,0.000570932941694243
2.44571428571429,0.000592530182272663
2.45142857142857,0.000614037767011666
2.45714285714286,0.000635456118377249
2.46285714285714,0.000656785655728215
2.46857142857143,0.000678026795352689
2.47428571428571,0.000699179950503587
2.48,0.000720245531434277
2.48571428571429,0.00074122394543319
2.49142857142857,0.000762115596858422
2.49714285714286,0.000782920887171933
2.50285714285714,0.000803640214972877
2.50857142857143,0.000824273976031176
2.51428571428571,0.000844822563320038
2.52,0.000865286367048662
2.52571428571429,0.000885665774694006
2.53142857142857,0.000905961171032586
2.53714285714286,0.000926172938171742
2.54285714285714,0.000946301455580333
2.54857142857143,0.000966347100119451
2.55428571428571,0.000986310246072296
2.56,0.00100619126517416
2.56571428571429,0.00102599052664158
2.57142857142857,0.00104570839720147
2.57714285714286,0.00106534524111984
2.58285714285714,0.00108490142022992
2.58857142857143,0.00110437729396035
2.59428571428571,0.00112377321936253
2.6,0.00114308955113819
2.60571428571429,0.00116232664166605
2.61142857142857,0.00118148484102858
2.61714285714286,0.00120056449703833
2.62285714285714,0.00121956595526367
2.62857142857143,0.00123848955905471
2.63428571428571,0.0012573356495683
2.64,0.00127610456579338
2.64571428571429,0.00129479664457537
2.65142857142857,0.00131341222064067
2.65714285714286,0.00133195162662091
2.66285714285714,0.00135041519307645
2.66857142857143,0.00136880324852015
2.67428571428571,0.00138711611944033
2.68,0.00140535413032392
2.68571428571429,0.00142351760367893
2.69142857142857,0.00144160686005683
2.69714285714286,0.00145962221807479
2.70285714285714,0.00147756399443717
2.70857142857143,0.00149543250395742
2.71428571428571,0.001513228059579
2.72,0.00153095097239668
2.72571428571429,0.00154860155167705
2.73142857142857,0.00156618010487912
2.73714285714286,0.00158368693767459
2.74285714285714,0.00160112235396765
2.74857142857143,0.00161848665591497
2.75428571428571,0.00163578014394488
2.76,0.00165300311677692
2.76571428571429,0.00167015587144058
2.77142857142857,0.00168723870329421
2.77714285714286,0.00170425190604355
2.78285714285714,0.00172119577175993
2.78857142857143,0.00173807059089849
2.79428571428571,0.00175487665231583
2.8,0.0017716142432879
2.80571428571429,0.00178828364952711
2.81142857142857,0.00180488515519969
2.81714285714286,0.0018214190429427
2.82285714285714,0.00183788559388061
2.82857142857143,0.00185428508764206
2.83428571428571,0.00187061780237598
2.84,0.00188688401476798
2.84571428571429,0.00190308400005604
2.85142857142857,0.00191921803204635
2.85714285714286,0.00193528638312897
2.86285714285714,0.00195128932429292
2.86857142857143,0.00196722712514157
2.87428571428571,0.00198310005390741
2.88,0.001998908377467
2.88571428571429,0.00201465236135542
2.89142857142857,0.00203033226978066
2.89714285714286,0.00204594836563804
2.90285714285714,0.00206150091052398
2.90857142857143,0.00207699016475011
2.91428571428571,0.00209241638735675
2.92,0.00210777983612664
2.92571428571429,0.00212308076759809
2.93142857142857,0.00213831943707826
2.93714285714286,0.00215349609865624
