"Freq [GHz]","re(Z(1,1)) []","re(Z(1,2)) []"
2,27.6329951025402,-22.0842588258709
2.00571428571429,27.5921195717494,-21.9952584564733
2.01142857142857,27.5524753067662,-21.903769394245
2.01714285714286,27.5137406571463,-21.8105519840833
2.02285714285714,27.4756361217324,-21.7163210394037
2.02857142857143,27.4379240776089,-21.6217445499273
2.03428571428571,27.4004080350916,-21.527442955782
2.04,27.3629314513954,-21.4339889585687
2.04571428571429,27.3253761435165,-21.3419078311333
2.05142857142857,27.2876603469076,-21.251678180649
2.05714285714286,27.2497364711038,-21.1637331140501
2.06285714285714,27.2115886061783,-21.0784617511476
2.06857142857143,27.1732298352488,-20.9962110285363
2.07428571428571,27.1346994075301,-20.917287737267
2.08,27.0960598249243,-20.8419607379985
2.08571428571429,27.0573938917506,-20.7704633000348
2.09142857142857,27.0188017733552,-20.7029955139105
2.09714285714286,26.9803981044396,-20.6397267315758
2.10285714285714,26.9423091826126,-20.5807979931507
2.10857142857143,26.9046702770778,-20.5263244044806
2.11428571428571,26.8676230767101,-20.4763974352103
2.12,26.8313132962198,-20.4310871124761
2.12571428571429,26.7958884538026,-20.3904440906784
2.13142857142857,26.7614958288492,-20.3545015826469
2.13714285714286,26.7282806038695,-20.323277142147
2.14285714285714,26.6963841909481,-20.2967742917606
2.14857142857143,26.6659427397816,-20.2749839937711
2.15428571428571,26.6370858216665,-20.257885964798
2.16,26.6099352816684,-20.245449837492
2.16571428571429,26.5846042496023,-20.2376361747462
2.17142857142857,26.5611962993755,-20.2343973435009
2.17714285714286,26.5398047455729,-20.2356782564593
2.18285714285714,26.5205120658544,-20.2414169909869
2.18857142857143,26.5033894378464,-20.2515452949316
2.19428571428571,26.4884963794767,-20.2659889895028
2.2,26.4758804822715,-20.2846682793848
2.20571428571429,26.4655772278725,-20.3074979801598
2.21142857142857,26.4576098788014,-20.3343876729564
2.21714285714286,26.451989435523,-20.3652417958215
2.22285714285714,26.4487146527235,-20.3999596810209
2.22857142857143,26.4477721088449,-20.4384355469289
2.23428571428571,26.4491363237876,-20.4805584528041
2.24,26.4527699207319,-20.5262122242166
2.24571428571429,26.458623828961,-20.5752753564417
2.25142857142857,26.4666375253932,-20.6276209026932
2.25714285714286,26.4767393133526,-20.6831163536758
2.26285714285714,26.4888466378503,-20.7416235144524
2.26857142857143,26.5028664372677,-20.8029983843471
2.27428571428571,26.5186955318789,-20.8670910451777
2.28,26.5362210501213,-20.933745562844
2.28571428571429,26.5553208938863,-21.0027999069289
2.29142857142857,26.5758642443098,-21.074085892768
2.29714285714286,26.5977121097483,-21.1474291500717
2.30285714285714,26.6207179176156,-21.2226491219923
2.30857142857143,26.6447281517245,-21.2995590982021
2.31428571428571,26.6695830365399,-21.3779662853299
2.32,26.6951172695176,-21.4576719177777
2.32571428571429,26.7211608022096,-21.538471411704
2.33142857142857,26.7475396703673,-21.6201545646233
2.33714285714286,26.774076872593,-21.7025058027852
2.34285714285714,26.8005932963369,-21.7853044781801
2.34857142857143,26.8269086892915,-21.8683252166187
2.35428571428571,26.852842673417,-21.9513383179051
2.36,26.8782157978521,-22.0341102084589
2.36571428571429,26.9028506231951,-22.116403948303
2.37142857142857,26.9265728312969,-22.197979793995
2.37714285714286,26.9492123611707,-22.2785958102234
2.38285714285714,26.9706045536393,-22.3580085339467
2.38857142857143,26.9905912951904,-22.4359736921786
2.39428571428571,27.0090221537452,-22.5122469690554
2.4,27.0257554937499,-22.5865848205546
2.40571428571429,27.0406595575555,-22.6587453349287
2.41142857142857,27.0536134995406,-22.7284891364188
2.41714285714286,27.064508359012,-22.795580329321
2.42285714285714,27.0732479574604,-22.8597874792133
2.42857142857143,27.0797497057205,-22.920884627758
2.43428571428571,27.0839453067402,-22.9786523371412
2.44,27.0857813402523,-23.0328787597823
2.44571428571429,27.0852197164236,-23.0833607285625
2.45142857142857,27.0822379868583,-23.1299048622653
2.45714285714286,27.0768295028494,-23.1723286804653
2.46285714285714,27.0690034128208,-23.2104617213832
2.46857142857143,27.0587844930652,-23.2441466556736
2.47428571428571,27.0462128086597,-23.2732403882522
2.48,27.0313432042017,-23.2976151395718
2.48571428571429,27.0142446272327,-23.3171594968306
2.49142857142857,26.9949992904239,-23.3317794248013
2.49714285714286,26.9737016820496,-23.3413992250434
2.50285714285714,26.9504574375094,-23.3459624315457
2.50857142857143,26.925382088002,-23.3454326300447
2.51428571428571,26.898599705445,-23.339794187742
2.52,26.8702414654046,-23.3290528797878
2.52571428571429,26.8404441521424,-23.3132363987378
2.53142857142857,26.8093486315858,-23.2923947334577
2.53714285714286,26.7770983192286,-23.2666004044221
2.54285714285714,26.7438376702966,-23.2359485435858
2.54857142857143,26.7097107200327,-23.2005568077226
2.55428571428571,26.6748597003617,-23.1605651156438
2.56,26.6394237556962,-23.1161352048449
2.56571428571429,26.6035377822831,-23.0674500019848
2.57142857142857,26.5673314097586,-23.0147128056521
2.57714285714286,26.5309281398602,-22.9581462843143
2.58285714285714,26.4944446540364,-22.8979912947987
2.58857142857143,26.4579902970893,-22.8345055302587
2.59428571428571,26.4216667394763,-22.767962010047
2.6,26.3855678163231,-22.6986474272295
2.60571428571429,26.3497795368578,-22.6268603724807
2.61142857142857,26.3143802538416,-22.5529094557548
2.61714285714286,26.2794409788794,-22.4771113493102
2.62285714285714,26.2450258264098,-22.3997887772139
2.62857142857143,26.2111925665621,-22.3212684775071
2.63428571428571,26.1779932653463,-22.2418791634579
2.64,26.1454749894255,-22.1619495100872
2.64571428571429,26.1136805523547,-22.0818061911392
