"Freq [GHz]","re(Z(1,1)) [] - stripwidth='4.7mm'","re(Z(2,1)) [] - stripwidth='4.7mm'"
2,1.71282449890375,-0.746316273820349
2.00571428571429,1.80576686865536,-0.870593093484331
2.01142857142857,1.91902930356753,-1.01232170458689
2.01714285714286,2.0567899912615,-1.17581431175349
2.02285714285714,2.22455375619295,-1.36669590934389
2.02857142857143,2.42968282580843,-1.59244041909154
2.03428571428571,2.68219549907413,-1.86317269397472
2.04,2.99599647791004,-2.19290036877536
2.04571428571429,3.39082559068119,-2.60146240641852
2.05142857142857,3.89544628696586,-3.11771565856584
2.05714285714286,4.5530641370148,-3.78494925565098
2.06285714285714,5.43095377272705,-4.6705040921605
2.06857142857143,6.63849038007344,-5.88379064711452
2.07428571428571,8.36314528377164,-7.61225764824551
2.08,10.9482119183674,-10.1990596078373
2.08571428571429,15.0781759767645,-14.3282846733316
2.09142857142857,22.2823195362202,-21.5281603585347
2.09714285714286,36.5714629289262,-35.8064546581438
2.10285714285714,71.3688244501074,-70.5754372419225
2.10857142857143,194.814773100889,-193.916338240778
2.11428571428571,1106.04286052287,-1104.30398159432
2.12,685.88565733614,-684.405200463733
2.12571428571429,145.850048925336,-144.899717863616
2.13142857142857,58.5376001809393,-57.6731286251193
2.13714285714286,31.2116902295689,-30.3686293721097
2.14285714285714,19.4017011537669,-18.5613932294891
2.14857142857143,13.2760161304525,-12.4303461857994
2.15428571428571,9.70520646849911,-8.849492328049
2.16,7.44821511425627,-6.57912276632433
2.16571428571429,5.93462914185046,-5.04939798887296
2.17142857142857,4.87291560738493,-3.96901626209144
2.17714285714286,4.10164056985466,-3.17660044514681
2.18285714285714,3.52562997830377,-2.57693172697033
2.18857142857143,3.08587980332612,-2.11089377707452
2.19428571428571,2.74427379402523,-1.74020680362757
2.2,2.47533469014484,-1.43918610212634
2.20571428571429,2.26154083427935,-1.1900609255376
2.21142857142857,2.09055123953109,-0.980198513498129
2.21714285714286,1.95350060585651,-0.800395563475195
2.22285714285714,1.84391867623637,-0.643791808140893
2.22857142857143,1.7570269428323,-0.505158676182792
2.23428571428571,1.68927072061017,-0.380420804422618
2.24,1.63800235152784,-0.266325725592744
2.24571428571429,1.60126419587556,-0.160209750349183
2.25142857142857,1.57763942062918,-0.0598271765438946
2.25714285714286,1.56615034294771,0.03677860126035
2.26285714285714,1.56619145787406,0.131376552672792
2.26857142857143,1.57748909132925,0.225632272293551
2.27428571428571,1.60008293878808,0.321182750236465
2.28,1.63432723679278,0.419708010780598
2.28571428571429,1.68091141559491,0.523005510753329
2.29142857142857,1.74090214765667,0.633073508298403
2.29714285714286,1.81581107844921,0.752210775429858
2.30285714285714,1.90769561281297,0.883142263508045
2.30857142857143,2.01930451508345,1.02918410435732
2.31428571428571,2.15428668187385,1.19446747919156
2.32,2.31749179713239,1.38425089066873
2.32571428571429,2.51540835390108,1.60536686021214
2.33142857142857,2.7568125524557,1.86687682854071
2.33714285714286,3.05374987550356,2.18105602844452
2.34285714285714,3.423057164283,2.56491571692318
2.34857142857143,3.88879200802728,3.04262849632927
2.35428571428571,4.48624259064721,3.64952762297944
2.36,5.2688101819001,4.4389679619861
2.36571428571429,6.32037859991904,5.49465356300251
2.37142857142857,7.77879874359388,6.95403964634147
2.37714285714286,9.88354261322772,9.05581612764183
2.38285714285714,13.0807061415407,12.2445315666185
2.38857142857143,18.2799741060859,17.4266269119493
2.39428571428571,27.5769649234611,26.6901563069048
2.4,46.7149460340733,45.7575441181326
2.40571428571429,96.267469626661,95.1274582530708
2.41142857142857,292.79699288932,290.936998276025
2.41714285714286,1533.63566599207,1527.2274362203
2.42285714285714,452.744365965401,450.267606519724
2.42857142857143,122.859995548353,121.58543621784
2.43428571428571,54.2417793613616,53.2097988645215
2.44,30.2802651944485,29.3249627787272
2.44571428571429,19.3189980312174,18.3907273230842
2.45142857142857,13.4347872053907,12.5130006140955
2.45714285714286,9.92564219214748,8.9996724650392
2.46285714285714,7.67184581414239,6.73506339846211
2.46857142857143,6.14277582988,5.19040130204377
2.47428571428571,5.06105245859962,4.08920550707061
2.48,4.27038991242578,3.27562417668566
2.48571428571429,3.6773664469782,2.65641716709104
2.49142857142857,3.22340396182329,2.17303636740136
2.49714285714286,2.87029874680841,1.78720646177498
2.50285714285714,2.59230485399488,1.47303331599699
2.50857142857143,2.37158842980201,1.21246993741382
2.51428571428571,2.19550888517848,0.99260141794182
2.52,2.05493510588961,0.803959766617512
2.52571428571429,1.94317114416939,0.639444360538417
2.53142857142857,1.85525320969851,0.493610344111271
2.53714285714286,1.78747988318209,0.362186932310076
2.54285714285714,1.73709303924333,0.241742786314854
2.54857142857143,1.70205888455158,0.129447236494321
2.55428571428571,1.68091744848906,0.0228947262727146
2.56,1.67268045020951,-0.0800289641492554
2.56571428571429,1.67676480335086,-0.181253338353936
2.57142857142857,1.69295386822906,-0.282613128857479
2.57714285714286,1.72138196533607,-0.38592962300508
2.58285714285714,1.76254028205471,-0.493090196610533
2.58857142857143,1.81730459690674,-0.606132591610396
2.59428571428571,1.88698759221518,-0.727341058224581
2.6,1.97342131723874,-0.859363052116373
2.60571428571429,2.07907909459803,-1.00535804793724
2.61142857142857,2.20725156058486,-1.16919481162859
2.61714285714286,2.36229976242495,-1.35572125264736
2.62285714285714,2.55002128109566,-1.57114367545856
2.62857142857143,2.77818669249229,-1.82357330857602
2.63428571428571,3.05733967992091,-2.12383372563377
2.64,3.40201677390525,-2.48668514487056
2.64571428571429,3.83265556685018,-2.93273407290654
2.65142857142857,4.37867147508884,-3.49150735542046
2.65714285714286,5.08359590791415,-4.20658134187394
2.66285714285714,6.01401660714271,-5.14450249832757
2.66857142857143,7.27590668696078,-6.41107666937157
2.67428571428571,9.04623223017896,-8.18289614088691
2.68,11.6386242237553,-10.7728408124304
2.68571428571429,15.652431401592,-14.7787399661001
2.69142857142857,22.3516912520695,-21.4613450500852
2.69714285714286,34.7865106411187,-33.8627511802147
2.70285714285714,61.9023826571168,-60.9048588283077
2.70857142857143,139.358938974841,-138.153082222332
2.71428571428571,502.905197951672,-500.732651286251
2.72,1368.97190318132,-1364.49336814137
2.72571428571429,286.175086499704,-284.553670817655
2.73142857142857,96.8804497023009,-95.7507918322313
2.73714285714286,47.1718948842701,-46.1621412361979
2.74285714285714,27.739490460598,-26.7674813501103
2.74857142857143,18.2709487945232,-17.3083707454481
2.75428571428571,12.9814705278565,-12.0153068440399
2.76,9.74005061562409,-8.76286755232486
2.76571428571429,7.61712212717283,-6.62386215151357
2.77142857142857,6.15574930809183,-5.14245813114816
2.77714285714286,5.11042024486634,-4.07366583770714
2.78285714285714,4.3398164291652,-3.27639057756622
2.78857142857143,3.75800712080925,-2.66475374751055
2.79428571428571,3.3103552586503,-2.18405922989201
2.8,2.96081497006937,-1.79812040486971
2.80571428571429,2.68486139583159,-1.48220368082081
2.81142857142857,2.46537215665286,-1.21891483467935
2.81714285714286,2.29013366199839,-0.995704682597952
2.82285714285714,2.15028048266923,-0.803303874794785
2.82857142857143,2.03929064535015,-0.63471033218796
2.83428571428571,1.95232315397813,-0.484515755171792
2.84,1.88577253608138,-0.348445762225005
2.84571428571429,1.83696491716332,-0.223037615234749
2.85142857142857,1.80394899126863,-0.105408043902734
2.85714285714286,1.78535255442729,0.00691938126174701
2.86285714285714,1.7802859699518,0.116147635715996
2.86857142857143,1.78828079962589,0.224314446058911
2.87428571428571,1.8092564523362,0.333385602171357
2.88,1.84351103166545,0.445341525912936
2.88571428571429,1.8917352297381,0.562264281926779
2.89142857142857,1.9550505738128,0.686432226130422
2.89714285714286,2.03507599074031,0.82043046773272
2.90285714285714,2.13402996347629,0.967287462180297
2.90857142857143,2.25488012026108,1.13065179420034
2.91428571428571,2.40155884625296,1.31502936665532
2.92,2.5792739582182,1.52611122611041
2.92571428571429,2.79496024885839,1.77123869027857
2.93142857142857,3.05794545423442,2.06007992078414
2.93714285714286,3.38095154649995,2.4056391911113
2.94285714285714,3.78163571330974,2.82580330014039
2.94857142857143,4.28502782557277,3.34578168293126
2.95428571428571,4.92751098986132,4.0020860275643
2.96,5.76356838799569,4.84927083089976
2.96571428571429,6.87772891243158,5.97186364456016
2.97142857142857,8.40684161209442,7.50660689506923
2.97714285714286,10.5842834649482,9.68659721688948
2.98285714285714,13.834686163486,12.9358620457756
2.98857142857143,18.9974759806447,18.0925415240098
2.99428571428571,27.9249034879988,27.0059567755749
3,45.3787467293327,44.4302588047118
3.00571428571429,86.7104640750817,85.6922032999157
3.01142857142857,222.976317766645,221.733507323889
3.01714285714286,954.351391555449,951.921717135146
3.02285714285714,746.589324578185,744.483012561832
3.02857142857143,184.002006000766,182.793861733958
3.03428571428571,74.8474074784826,73.8036375004273
3.04,39.8578264013667,38.8566980458528
3.04571428571429,24.671317192491,23.6788915878444
3.05142857142857,16.7957898318958,15.7982691751367
3.05714285714286,12.2122591838658,11.2022743240871
3.06285714285714,9.32146506668891,8.29414542237967
3.06857142857143,7.38771824755522,6.33927648181588
3.07428571428571,6.03506172174435,4.96219149680778
3.08,5.05541932640956,3.95500111758324
3.08571428571429,4.32619543077874,3.19513284429538
3.09142857142857,3.77143089133991,2.60654645250502
3.09714285714286,3.34208069183134,2.14003951285138
3.10285714285714,3.00537450995302,1.76262037184252
3.10857142857143,2.73878031535027,1.45147579333638
3.11428571428571,2.52643066301454,1.19039619008379
3.12,2.3569288144204,0.967577076394451
3.12571428571429,2.22195943250606,0.774222094747801
3.13142857142857,2.115385147423,0.60362901341751
3.13714285714286,2.03264588046312,0.450575343470939
3.14285714285714,1.97035234984504,0.310894480654803
3.14857142857143,1.92600762440668,0.181175439556829
3.15428571428571,1.89781555480202,0.0585438848899092
3.16,1.88455006247635,-0.059503098237604
3.16571428571429,1.88546877193786,-0.175227098764839
3.17142857142857,1.90026067902791,-0.290756490046001
3.17714285714286,1.92902183349527,-0.408182476185257
3.18285714285714,1.97225623159184,-0.529651273798382
3.18857142857143,2.030901843322,-0.657460056226076
3.19428571428571,2.10638439791721,-0.794164741746038
3.2,2.20070466888903,-0.942709273521975
3.20571428571429,2.31656908346742,-1.10658903016593
3.21142857142857,2.45757931472308,-1.29006605266513
3.21714285714286,2.62850534073912,-1.49846201384189
3.22285714285714,2.83568036261866,-1.7385683030369
3.22857142857143,3.08757862128989,-2.01923484794626
3.23428571428571,3.39567518242458,-2.3522369242598
3.24,3.77575264524674,-2.75358460441604
3.24571428571429,4.24993780005544,-3.24555685853273
3.25142857142857,4.84997092796321,-3.85996080302109
3.25714285714286,5.62263685110675,-4.64354080902479
3.26285714285714,6.63915587296521,-5.66732681989061
3.26857142857143,8.01220686554644,-7.04357593803701
3.27428571428571,9.92857481675303,-8.95825977463362
3.28,12.7162003122573,-11.7377812788212
3.28571428571429,16.9940895801657,-15.9981375056595
3.29142857142857,24.0458266977425,-23.0165662966441
3.29714285714286,36.8933560772961,-35.7999613563658
3.30285714285714,64.0595749002089,-62.8286493948823
3.30857142857143,137.173111712223,-135.573106834891
3.31428571428571,434.583133233528,-431.49017831422
3.32,1304.3445402887,-1296.88936336618
3.32571428571429,360.80195905948,-358.05784849219
3.33142857142857,119.655977016523,-118.108510689049
3.33714285714286,57.0869495259535,-55.8402961293965
3.34285714285714,33.1212961645456,-31.9802014686727
3.34857142857143,21.613854891216,-20.5139230656938
3.35428571428571,15.2517639236317,-14.1651512179167
3.36,11.3823499522904,-10.2944082393026
3.36571428571429,8.86227299410073,-7.76397033096975
3.37142857142857,7.13475584376385,-6.01971720239277
3.37714285714286,5.90286937418095,-4.7660519774891
3.38285714285714,4.99673728883759,-3.83376875153695
3.38857142857143,4.31358628830342,-3.12040010600368
3.39428571428571,3.78835062843898,-2.56096532021177
3.4,3.37826301479597,-2.11263411552489
3.40571428571429,3.05431946232513,-1.74622905186531
3.41142857142857,2.79632798726982,-1.44129274473669
3.41714285714286,2.58992133791841,-1.18310799130893
3.42285714285714,2.42469313965763,-0.960834094464942
3.42857142857143,2.29300103120722,-0.766304866995064
3.43428571428571,2.1891791016208,-0.593231426758425
3.44,2.1090091239411,-0.436659400303877
3.44571428571429,2.04936007603715,-0.292589657053415
3.45142857142857,2.00794016605682,-0.157705995008445
3.45714285714286,1.98312632442439,-0.0291734955177474
3.46285714285714,1.97384891379945,0.0955164803549998
3.46857142857143,1.97951757691955,0.218671203823305
3.47428571428571,1.99997960276507,0.342503423945772
3.48,2.03550609249193,0.469229575068539
3.48571428571429,2.08680428650362,0.601167549507481
3.49142857142857,2.15505720603469,0.740842131287537
3.49714285714286,2.24199472872166,0.891107169359902
3.50285714285714,2.35000385903782,1.05529583295776
3.50857142857143,2.48229093406028,1.23741430080653
3.51428571428571,2.64311582356745,1.44240085916617
3.52,2.83812947427832,1.67648316596055
3.52571428571429,3.07486421130703,1.94768411764475
3.53142857142857,3.36345602955643,2.26655626910028
3.53714285714286,3.71772886566211,2.64727524574393
3.54285714285714,4.15686006407198,3.10931153298194
3.54857142857143,4.70800871274288,3.68006213968131
3.55428571428571,5.41059625867296,4.39913082599881
3.56,6.32353852063486,5.32555431911452
3.56571428571429,7.53800046237481,6.55054223155284
3.57142857142857,9.20106547450891,8.22111450503779
3.57714285714286,11.5624283799045,10.5867275101871
3.58285714285714,15.0736669982349,14.0983991313093
3.58857142857143,20.6200523635719,19.6401718539478
3.59428571428571,30.1315297703011,29.1391708265779
3.6,48.4770250949615,47.4570293490864
3.60571428571429,90.843402913106,89.7575521759482
3.61142857142857,222.726904774898,221.436455503086
3.61714285714286,828.954637763999,826.720830227525
3.62285714285714,796.599247012748,794.374891594026
3.62857142857143,212.961264078585,211.635502663364
3.63428571428571,86.6309233686826,85.4933967383516
3.64,45.9417185126286,44.8557052674585
3.64571428571429,28.3411990049299,27.2679343918607
3.65142857142857,19.2452930223378,18.168994367208
3.65714285714286,13.9654502951303,12.8777088079229
3.66285714285714,10.6415828624125,9.5368587314988
3.66857142857143,8.42066577612644,7.29466102688189
3.67428571428571,6.86798355597506,5.71694874301272
3.68,5.74351176065565,4.56390754194852
3.68571428571429,4.90611930900285,3.69442896999274
3.69142857142857,4.26851570265699,3.02112692856812
3.69714285714286,3.77442454135495,2.48754405343348
3.70285714285714,3.38629237213948,2.05587559065789
3.70857142857143,3.07832646631157,1.70001253379572
3.71428571428571,2.83237881756953,1.40142508249588
3.72,2.63542244476446,1.14663424113089
3.72571428571429,2.47795491572508,0.925607184134652
3.73142857142857,2.35296113624534,0.730708562273543
3.73714285714286,2.25522425587833,0.555996345764523
3.74285714285714,2.18085962610068,0.396736569298058
3.74857142857143,2.12699570243716,0.249059986154296
3.75428571428571,2.09155454152534,0.109712034757721
3.76,2.07310197624273,-0.0241355066386477
3.76571428571429,2.07074847244143,-0.15503249289411
3.77142857142857,2.08408878827438,-0.285373049285193
3.77714285714286,2.11317345718401,-0.417504181658362
3.78285714285714,2.15850877886786,-0.553829668856456
3.78857142857143,2.22108509206146,-0.69691785592272
